CategoryName,RawCount,Accepted
Taman,206,203
Tujuan Wisata,167,165
Rumah wisata,52,1
Biro Perjalanan dan Wisata,36,0
Hotel,28,0
Area Mendaki,27,27
Museum,20,20
Taman bermain,20,20
Agen Sewa Mobil,20,0
Kantor Perusahaan,13,0
Kolam Renang,13,2
Masjid,13,0
Galeri Seni,12,0
N/A,9,0
Pusat Informasi Pariwisata,8,1
Area Rekreasi Alam,7,2
Bangunan Bersejarah,7,1
Biro Wisata,6,1
Bumi perkemahan,6,6
Restoran,6,0
Taman Kanak-kanak,6,5
Kebun Raya,5,0
Taman Kota,5,5
Pusat Perbelanjaan,5,0
Taman Hiburan,4,4
Puncak Gunung,4,0
Kebun Binatang,4,4
Kafe,4,0
Pertanian,3,2
Akuarium,3,0
Layanan Transportasi,3,0
Monumen,3,0
Komplek perumahan,3,0
Kedai Kopi,3,0
Titik Pemandangan,2,2
Pantai,2,2
Pantai Umum,2,2
Kolam Renang Umum,2,1
Penginapan,2,0
Vihara,2,0
Agen Persewaan Rumah Peristirahatan,2,0
Restoran Indonesia,2,0
Lapangan Sepak Bola,2,0
Pembibitan Tanaman,2,2
Lembaga Swadaya Masyarakat (LSM),2,2
Kantor Pemerintah,2,0
Auditorium,2,0
Toko,2,0
Pemakaman,2,1
Pusat Pendidikan,2,0
Pembangunan Perumahan,2,0
Klub Olahraga,2,0
Pusat Hiburan Video Game Arkade,2,0
Taman Komunitas,2,2
Restoran Bubur,2,0
Gedung Pernikahan,2,0
Toko Bunga,2,0
Studio televisi,2,1
Vila,1,0
Lokasi Aktivitas Olahraga,1,0
Taman Ekologi,1,1
Pos Penjaga Pantai,1,1
Jembatan,1,0
Pusat Rekreasi,1,1
Pulau,1,1
Area Pengamatan Burung,1,0
Toko bahan makanan,1,0
Tugu Pahlawan,1,0
Perusahaan Media,1,0
Pusat kebudayaan,1,1
Bangunan pusaka,1,0
Taman Rekreasi Air,1,1
Penata Taman,1,1
Museum Sains,1,1
Lukisan,1,0
Museum Sejarah Lokal,1,1
Tempat acara,1,0
Rumah Makan,1,0
Kebun Anggur,1,0
Restoran Bakso,1,0
Perumahan,1,0
Taman Bermain Dalam Ruangan,1,1
Toko Pakaian,1,0
Toko Pigura,1,0
Konsultan Manajemen Bisnis,1,0
Toko Herbal,1,0
Tempat Bermain Paintball,1,0
Katedral Katolik,1,0
Pura,1,0
Panti Lansia,1,0
Asosiasi/organisasi,1,0
Jasa Pengiriman Kargo,1,0
Penginapan religi,1,0
Pusat Olahraga Petualangan,1,1
Pasar tradisional,1,0
Pusat Hiburan,1,0
Pusat Kesenian,1,0
Gedung Olahraga Tenis Meja,1,0
Tempat Bersejarah,1,1
Restoran Sunda,1,0
Pelatih kehidupan,1,0
Gereja Katolik,1,0
Tempat Ziarah,1,0
Tempat Ibadah,1,0
Toko Hiburan & Perlengkapan Pantai,1,1
Lembaga Agama,1,0
Perguruan Tinggi,1,1
Institusi Pendidikan,1,0
Sekolah Dasar,1,0
Taman pedesaan,1,1
Agen Tiket,1,1
Pelestarian Situs Peninggalan,1,0
Danau Pemancingan,1,0
Pusat Pembelajaran,1,0
Restoran Dim Sum,1,0
Distributor minuman,1,0
Gedung Pertemuan,1,0
Seniman,1,0
Terminal kapal pesiar,1,0
Perpustakaan,1,0
Pelayanan Keamanan Jalan,1,0
Bioskop,1,0
Gelanggang Pramuka,1,0
Guest house,1,0
Restoran Nasi Goreng,1,0
Organisasi Nonprofit,1,0
Kelompok Bermain,1,1
Otoritas Pelabuhan,1,0
Panggung Musik,1,0
Pusat Kebugaran,1,0
Bangunan,1,1
Balai masyarakat,1,0
Restoran Pecel Lele,1,0
Layanan Rental Mobil Salju,1,0
Sekolah Renang,1,0
Kompleks Townhouse,1,1
Pemakaman Militer,1,1
Tempat Parkir Umum,1,1
Pondok Pegunungan,1,1
Warung nasi,1,0
Jasa Pembersihan Pantai,1,1
Pondok,1,0
Stasiun Kereta,1,0
Pasar,1,0
Agen Tur Helikopter,1,0
Tempat bermain gokart,1,0
Benteng,1,0
Biro Wisata Bawah Laut,1,0
Toko Pakaian dan Peralatan Luar Ruangan,1,0
Perusahaan Bus,1,1
Hostel,1,0
Panti sosial,1,0
Kompleks Apartemen,1,0
Lapangan Futsal,1,0
Apartemen sewa liburan,1,0
Fasilitas Berkuda,1,0
Kolam Memancing,1,0
Taman bermain papan seluncur,1,1
Klub Kapal Pesiar,1,0
Minimarket,1,0
Pameran Kerajinan,1,0
