canonical_id,name,normalized_name,description,normalized_category,category_tags,address,city_regency,district,village,latitude,longitude,rating,review_count,price_min,price_max,currency,price_notes,opening_hours,phone,website,business_status,facilities,primary_source,source_count,first_collected_at,last_collected_at,last_verified_at,dedup_confidence,needs_manual_review,classification,classification_confidence,classification_signals,classification_reason,parent_canonical_id,place_relationship,dedup_cluster_id,dedup_reason
can_1fef284e7d10,Dermaga Pulau Pahawang,dermaga pahawang,,island,"['island', 'nature']","869J+P7C, Unnamed Road, Pulau Pahawang, Kec. Punduh Pidada, Kabupaten Pesawaran, Lampung 35453, Indonesia",Kabupaten Pesawaran,"Pulau Pahawang, Kecamatan Punduh Pidada",,-5.6806875,105.2306406,4.8,795.0,,,,,,+6282184661326,https://www.google.com/maps/search/?api=1&query=dermaga%20pulau%20pahawang&query_place_id=chij8eabclelqs4rwcqa9uteyfm,OPERATIONAL,"['Fasilitas: Toilet', 'Perencanaan: Disarankan untuk mendapatkan tiket terlebih dahulu', 'Pembayaran: Hanya tunai', 'Anak-anak: Cocok untuk anak-anak']",apify_google_maps,1,2026-07-13T03:18:12.408Z,2026-07-13T03:18:12.408Z,2026-07-13T13:48:44.392336+00:00,1.0,True,accepted,1.0,['category_accepted'],Kategori utama 'Tujuan Wisata' disetujui,can_b8395881499f,supporting_facility,can_1fef284e7d10,canonical_root
can_a2c04d65d663,Puncak Bukit Cendana Pesawaran,puncak cendana pesawaran,,hill,"['nature', 'hill']","Hutan, Kec. Hutan, Kabupaten Pesawaran, Lampung 35451, Indonesia",Kabupaten Pesawaran,"Hutan, Kecamatan Hutan",,-5.5399929,105.1077046,4.6,353.0,,,,,Senin: Buka 24 jAM; Selasa: Buka 24 jAM; Rabu: Buka 24 jAM; Kamis: Buka 24 jAM; Jumat: Buka 24 jAM; Sabtu: Buka 24 jAM; Minggu: Buka 24 jAM,,https://www.google.com/maps/search/?api=1&query=puncak%20bukit%20cendana%20pesawaran&query_place_id=chijc0rixburqs4rwly-4d2pskc,OPERATIONAL,"['Fasilitas: Toilet', 'Anak-anak: Cocok untuk anak-anak']",apify_google_maps,1,2026-07-13T03:18:56.782Z,2026-07-13T03:18:56.782Z,2026-07-13T13:48:44.434987+00:00,1.0,True,accepted,1.0,['category_accepted'],Kategori utama 'Tujuan Wisata' disetujui,can_73e67cc62426,part_of,can_a2c04d65d663,canonical_root
can_b4d1f1d155c3,Bukit Lantana Harapan Jaya,lantana harapan jaya,,hill,"['nature', 'hill']","Hutan, Kec. Hutan, Kabupaten Pesawaran, Lampung 35451, Indonesia",Kabupaten Pesawaran,"Hutan, Kecamatan Hutan",,-5.5364933,105.1007777,4.9,28.0,,,,,Senin: Buka 24 jAM; Selasa: Buka 24 jAM; Rabu: Buka 24 jAM; Kamis: Buka 24 jAM; Jumat: Buka 24 jAM; Sabtu: Buka 24 jAM; Minggu: Buka 24 jAM,+6285279794933,https://www.google.com/maps/search/?api=1&query=bukit%20lantana%20harapan%20jaya&query_place_id=chij3cntqxyrqs4raszrazo3pcu,OPERATIONAL,[],apify_google_maps,1,2026-07-13T03:18:56.782Z,2026-07-13T03:18:56.782Z,2026-07-13T13:48:44.440555+00:00,1.0,True,accepted,1.0,['category_accepted'],Kategori utama 'Tujuan Wisata' disetujui,can_f391c6effacf,part_of,can_b4d1f1d155c3,canonical_root
can_d2f2f7cfc4cd,Cendana Mountain Bike Park,cendana mountain bike,,mountain,"['nature', 'camping', 'park', 'mountain']","Jl. Melati, Hutan, Kec. Hutan, Kabupaten Pesawaran, Lampung 35451, Indonesia",Kabupaten Pesawaran,"Hutan, Kecamatan Hutan",,-5.5394643,105.1074129,4.6,62.0,,,,,,+6285279794933,https://www.google.com/maps/search/?api=1&query=cendana%20mountain%20bike%20park&query_place_id=chijbqcfyyurqs4rjeqildmztbm,OPERATIONAL,"['Fasilitas: Toilet', 'Fasilitas: Toilet umum', 'Hewan Peliharaan: Anjing boleh masuk']",apify_google_maps,1,2026-07-13T03:18:59.818Z,2026-07-13T03:18:59.818Z,2026-07-13T13:48:44.482385+00:00,1.0,True,accepted,1.0,['category_accepted'],Kategori utama 'Bumi Perkemahan' disetujui,can_73e67cc62426,part_of,can_d2f2f7cfc4cd,canonical_root
can_43190e32adf4,Sea WALKER KAISAR 77 PAHAWANG,sea walker kaisar 77 pahawang,,other,['other'],"86FC+VXJ, Pulau Pahawang, Pardasuka, Kabupaten Pesawaran, Lampung 35453, Indonesia",Kabupaten Pesawaran,"Pulau Pahawang, Pardasuka",,-5.6752922,105.2224062,5.0,4.0,,,,,Senin: 08.30 to 05.30; Selasa: 08.30 to 05.30; Rabu: 08.30 to 05.30; Kamis: 08.30 to 05.30; Jumat: 08.30 to 05.30; Sabtu: 08.30 to 05.30; Minggu: 08.30 to 05.30,+6283863266079,https://www.google.com/maps/search/?api=1&query=sea%20walker%20kaisar%2077%20pahawang&query_place_id=chijscggvaavqs4rzs1pan6lvwo,OPERATIONAL,['Anak-anak: Cocok untuk anak-anak'],apify_google_maps,1,2026-07-13T03:19:01.115Z,2026-07-13T03:19:01.115Z,2026-07-13T13:48:44.495280+00:00,1.0,True,accepted,1.0,['category_accepted'],Kategori utama 'Tujuan Wisata' disetujui,can_59a8f91551ac,part_of,can_43190e32adf4,canonical_root
can_5eb80b0dba74,Bumi pahawang,bumi pahawang,,other,['other'],"C67G+5PP, Jl. Mahitam, Gebang, Kec. Padang Cermin, Kabupaten Pesawaran, Lampung 35451, Indonesia",Kabupaten Pesawaran,"Gebang, Kecamatan Padang Cermin",,-5.5870338,105.2268268,5.0,1.0,,,,,,,https://www.google.com/maps/search/?api=1&query=bumi%20pahawang&query_place_id=chijp-m9mganqs4rvxmregywunk,OPERATIONAL,['Anak-anak: Cocok untuk anak-anak'],apify_google_maps,1,2026-07-13T03:19:12.459Z,2026-07-13T03:19:12.459Z,2026-07-13T13:48:44.635239+00:00,1.0,True,accepted,1.0,['category_accepted'],Kategori utama 'Tujuan Wisata' disetujui,can_2d308585317a,part_of,can_5eb80b0dba74,canonical_root
can_dc84297958b2,Transportasi Wisata Pulau Pahawang,transportasi pahawang,,island,"['island', 'nature']","Pantai Klara2, Dermag 4 Desa, Batu Menyan, Kec. Padang Cermin, Kabupaten Pesawaran, Lampung 35454, Indonesia",Kabupaten Pesawaran,"Batu Menyan, Kecamatan Padang Cermin",,-5.5878488,105.2296208,,,,,,,,+6285380711985,https://www.google.com/maps/search/?api=1&query=transportasi%20wisata%20pulau%20pahawang&query_place_id=chij64s1jo4nqs4r2oyp9kkj2pk,OPERATIONAL,"['Fasilitas: Toilet', 'Anak-anak: Cocok untuk anak-anak']",apify_google_maps,1,2026-07-13T03:19:13.207Z,2026-07-13T03:19:13.207Z,2026-07-13T13:48:44.639565+00:00,1.0,True,accepted,1.0,['category_accepted'],Kategori utama 'Tujuan Wisata' disetujui,can_2d308585317a,supporting_facility,can_dc84297958b2,canonical_root
can_b53e4518f5d4,Tugu Andan Jejama,tugu andan jejama,,park,['park'],"J32C+33W, Waylayap, Kec. Gedong Tataan, Kabupaten Pesawaran, Lampung 35366, Indonesia",Kabupaten Pesawaran,"Waylayap, Kecamatan Gedong Tataan",,-5.3997525,105.0701905,4.0,44.0,,,,,Senin: Buka 24 jAM; Selasa: Buka 24 jAM; Rabu: Buka 24 jAM; Kamis: Buka 24 jAM; Jumat: Buka 24 jAM; Sabtu: Buka 24 jAM; Minggu: Buka 24 jAM,,https://www.google.com/maps/search/?api=1&query=tugu%20andan%20jejama&query_place_id=chijm_hlvfdsqc4ro4kydzro_hc,OPERATIONAL,['Anak-anak: Cocok untuk anak-anak'],apify_google_maps,1,2026-07-13T03:20:43.352Z,2026-07-13T03:20:43.352Z,2026-07-13T13:48:45.134116+00:00,1.0,True,accepted,0.9,['high_reviews:44'],Kategori 'Taman' disetujui dengan sinyal: high_reviews:44,can_e4a68e4d0072,part_of,can_b53e4518f5d4,canonical_root
can_7ecb1aed83dd,Air Terjun Kembar Congkanan,kembar congkanan,,waterfall,"['nature', 'waterfall']","FX3G+3Q, Bayas Jaya, Kec. Way Khilau, Kabupaten Pesawaran, Lampung 35368, Indonesia",Kabupaten Pesawaran,"Bayas Jaya, kecamatan Way Khilau",,-5.54734,104.976934,4.0,4.0,,,,,,,https://www.google.com/maps/search/?api=1&query=air%20terjun%20kembar%20congkanan&query_place_id=chijsw-mwqdvri4rtoe7tyhs3pg,OPERATIONAL,[],apify_google_maps,1,2026-07-13T03:20:46.455Z,2026-07-13T03:20:46.455Z,2026-07-13T13:48:45.222679+00:00,1.0,True,accepted,1.0,['category_accepted'],Kategori utama 'Tujuan Wisata' disetujui,can_e53e6824a04c,part_of,can_7ecb1aed83dd,canonical_root
can_defc79129a5b,Spot garuda pahawang,garuda pahawang,,other,['other'],"86FC+VXJ, Pulau Pahawang, Pardasuka, Kabupaten Pringsewu, Lampung 35453, Indonesia",Kabupaten Pringsewu,"Pulau Pahawang, Pardasuka",,-5.6752922,105.2224062,5.0,1.0,,,,,,,https://www.google.com/maps/search/?api=1&query=spot%20garuda%20pahawang&query_place_id=chijs_dizqalqs4ra6phbpvxnno,OPERATIONAL,[],apify_google_maps,1,2026-07-13T03:20:59.471Z,2026-07-13T03:20:59.471Z,2026-07-13T13:48:45.232899+00:00,1.0,True,accepted,1.0,['category_accepted'],Kategori utama 'Tujuan Wisata' disetujui,can_d5eff4e1d4aa,part_of,can_defc79129a5b,canonical_root
