source_record_id,source,source_place_id,name,normalized_name,address,city_regency,district,village,latitude,longitude,categories,rating,review_count,phone,website,price_min,price_max,currency,price_notes,opening_hours,business_status,facilities,source_url,collected_at,classification,classification_confidence,classification_signals,classification_reason,dedup_cluster_id,dedup_reason,raw_payload_path,query_region
apify_google_maps_ChIJ8fFfmVolQS4RYXcVnJiTI9I,apify_google_maps,ChIJ8fFfmVolQS4RYXcVnJiTI9I,Home Stay Pahawang Indahnesia,home stay pahawang indahnesia,"Desa Jelarangan Pulau Pahawang Kec. Punduh Pidada, Pulau Pahawang, Pesawaran, Kabupaten Pringsewu, Lampung 35453, Indonesia",Kabupaten Pesawaran,"Pulau Pahawang, Pesawaran",,-5.6799464,105.2308731,"['rumah wisata', 'agen tur kapal']",4.4,437.0,+6282177523035,http://www.indahnesia.net,,,,,,OPERATIONAL,[],https://www.google.com/maps/search/?api=1&query=Home%20Stay%20Pahawang%20Indahnesia&query_place_id=ChIJ8fFfmVolQS4RYXcVnJiTI9I,2026-07-13T03:18:55.117Z,rejected,1.0,['category_rejected'],Kategori utama 'Rumah wisata' teridentifikasi sebagai penginapan/akomodasi,,,data/raw/apify/google_maps/Pesawaran/2026-07-13/places.json,pesawaran
apify_google_maps_ChIJCbDGtXwwQS4Rs_2qV7Ah-DM,apify_google_maps,ChIJCbDGtXwwQS4Rs_2qV7Ah-DM,Green Bay Resort Lampung,green bay resort,"Sukarame, Kec. Punduh Pidada, Kabupaten Pesawaran, Lampung, Indonesia",Kabupaten Pesawaran,"Sukarame, Kecamatan Punduh Pidada",,-5.7303269,105.208148,"['pondok', 'rumah wisata', 'hotel resor']",4.8,186.0,+6281368403515,https://instagram.com/greenbay_tanjungputus,,,,,,OPERATIONAL,[],https://www.google.com/maps/search/?api=1&query=Green%20Bay%20Resort%20Lampung&query_place_id=ChIJCbDGtXwwQS4Rs_2qV7Ah-DM,2026-07-13T03:18:57.281Z,rejected,0.9,['name_rejected_keyword'],Nama mengandung keyword bisnis 'resort',,,data/raw/apify/google_maps/Pesawaran/2026-07-13/places.json,pesawaran
apify_google_maps_ChIJdYPwxUEnQS4Rb89Gt-PYi8A,apify_google_maps,ChIJdYPwxUEnQS4Rb89Gt-PYi8A,Homestay kang Diman,homestay kang diman,"Kampung seribu, Gebang, Kec. Padang Cermin, Kabupaten Pesawaran, Lampung, Indonesia",Kabupaten Pesawaran,"Gebang, Kecamatan Padang Cermin",,-5.5779432,105.2241143,['rumah wisata'],5.0,8.0,,https://www.google.com/maps/search/?api=1&query=homestay%20kang%20diman&query_place_id=chijdypwxuenqs4rb89gt-pyi8a,,,,,,OPERATIONAL,[],https://www.google.com/maps/search/?api=1&query=Homestay%20kang%20Diman&query_place_id=ChIJdYPwxUEnQS4Rb89Gt-PYi8A,2026-07-13T03:19:13.373Z,rejected,1.0,['category_rejected'],Kategori utama 'Rumah wisata' teridentifikasi sebagai penginapan/akomodasi,,,data/raw/apify/google_maps/Pesawaran/2026-07-13/places.json,pesawaran
apify_google_maps_ChIJCXU2n3S3QC4RPeXu15lTX0M,apify_google_maps,ChIJCXU2n3S3QC4RPeXu15lTX0M,Bpk.Suryani,bpk suryani,"Dusun enggal mulyo Rt02,Desa, Rt16, Gedung Gumanti, Tegineneng, Pesawaran Regency, Lampung 35363, Indonesia",Kabupaten Pesawaran,"Gedung Gumanti, Kecamatan Tegineneng",,-5.1755464,105.1579463,['rumah wisata'],,,,https://www.google.com/maps/search/?api=1&query=bpk.suryani&query_place_id=chijcxu2n3s3qc4rpexu15ltx0m,,,,,,OPERATIONAL,[],https://www.google.com/maps/search/?api=1&query=Bpk.Suryani&query_place_id=ChIJCXU2n3S3QC4RPeXu15lTX0M,2026-07-13T03:20:39.218Z,rejected,1.0,['category_rejected'],Kategori utama 'Rumah wisata' teridentifikasi sebagai penginapan/akomodasi,,,data/raw/apify/google_maps/Pesawaran/2026-07-13/places.json,pesawaran
apify_google_maps_ChIJRcTKIgApQS4RjXwxIvsY5pM,apify_google_maps,ChIJRcTKIgApQS4RjXwxIvsY5pM,BUKIT MERAYU PESAWARAN,merayu pesawaran,"C6C5+Q5J, Jl. Way Ratai, Gebang, Kec. Padang Cermin, Kabupaten Pesawaran, Lampung, Indonesia",Kabupaten Pesawaran,"Gebang, Kecamatan Padang Cermin",,-5.5780268,105.2078998,['rumah wisata'],,,,https://www.google.com/maps/search/?api=1&query=bukit%20merayu%20pesawaran&query_place_id=chijrctkigapqs4rjxwxivsy5pm,,,,,,OPERATIONAL,[],https://www.google.com/maps/search/?api=1&query=BUKIT%20MERAYU%20PESAWARAN&query_place_id=ChIJRcTKIgApQS4RjXwxIvsY5pM,2026-07-13T03:20:40.781Z,rejected,1.0,['category_rejected'],Kategori utama 'Rumah wisata' teridentifikasi sebagai penginapan/akomodasi,,,data/raw/apify/google_maps/Pesawaran/2026-07-13/places.json,pesawaran
apify_google_maps_ChIJZ96vbQAlQS4RoXvrEEMnmMg,apify_google_maps,ChIJZ96vbQAlQS4RoXvrEEMnmMg,Pantai,pantai,"86FC+VXJ, Pulau Pahawang, Pardasuka, Kabupaten Pringsewu, Lampung 35453, Indonesia",Kabupaten Pringsewu,"Pulau Pahawang, Pardasuka",,-5.6752922,105.2224062,['rumah wisata'],,,,https://www.google.com/maps/search/?api=1&query=pantai&query_place_id=chijz96vbqalqs4roxvreemnmmg,,,,,,OPERATIONAL,[],https://www.google.com/maps/search/?api=1&query=Pantai&query_place_id=ChIJZ96vbQAlQS4RoXvrEEMnmMg,2026-07-13T03:21:08.045Z,rejected,1.0,['category_rejected'],Kategori utama 'Rumah Wisata' ditolak,,,data/raw/apify/google_maps/Pesawaran/2026-07-13/places.json,pesawaran
apify_google_maps_ChIJAaTWv63bQC4RP77wK05A6gE,apify_google_maps,ChIJAaTWv63bQC4RP77wK05A6gE,Langnegara,langnegara,"Jl. Pulau Nias Jl. P. Singkep Gg. Terusan No.1, Sukabumi, Kec. Sukabumi, Kota Bandar Lampung, Lampung 35122, Indonesia",Kota Bandar Lampung,"Sukabumi, Kecamatan Sukabumi",,-5.3940487,105.3042877,['rumah wisata'],5.0,1.0,,https://www.google.com/maps/search/?api=1&query=langnegara&query_place_id=chijaatwv63bqc4rp77wk05a6ge,,,,,,OPERATIONAL,[],https://www.google.com/maps/search/?api=1&query=Langnegara&query_place_id=ChIJAaTWv63bQC4RP77wK05A6gE,2026-07-13T02:40:36.046Z,rejected,1.0,['category_rejected'],Kategori utama 'Rumah wisata' teridentifikasi sebagai penginapan/akomodasi,,,data/raw/apify/google_maps/bandar_lampung/2026-07-13/places.json,bandar_lampung
apify_google_maps_ChIJSyCYdnrdQC4RAcCa3oPDqag,apify_google_maps,ChIJSyCYdnrdQC4RAcCa3oPDqag,AnY house,any house,"PERUM BAHTERA INDAH SEJAHTERA, Jl. Pulau Singkep No.6 Blk E, Sukarame, Kec. Sukarame, Kota Bandar Lampung, Lampung 35131, Indonesia",Kota Bandar Lampung,"Sukarame, Kecamatan Sukarame",,-5.3896608,105.3144554,['rumah wisata'],5.0,4.0,+6282282438277,https://www.google.com/maps/search/?api=1&query=any%20house&query_place_id=chijsycydnrdqc4racca3opdqag,,,,,,OPERATIONAL,[],https://www.google.com/maps/search/?api=1&query=AnY%20house&query_place_id=ChIJSyCYdnrdQC4RAcCa3oPDqag,2026-07-13T02:40:36.046Z,rejected,1.0,['category_rejected'],Kategori utama 'Rumah wisata' teridentifikasi sebagai penginapan/akomodasi,,,data/raw/apify/google_maps/bandar_lampung/2026-07-13/places.json,bandar_lampung
apify_google_maps_ChIJNVE-XgDdQC4RUmYtx74qakY,apify_google_maps,ChIJNVE-XgDdQC4RUmYtx74qakY,HIKARI HOUSE 2,hikari house 2,"J847+7MP, Jl. Pulau Singkep Gang Garuda Asri 2, RT.011/RW.LK 2, Sukarame, Kec. Sukabumi, Kota Bandar Lampung, Lampung 35122, Indonesia",Kota Bandar Lampung,"Sukarame, Kecamatan Sukabumi",,-5.3942784,105.3142042,['rumah wisata'],5.0,1.0,,https://www.google.com/maps/search/?api=1&query=hikari%20house%202&query_place_id=chijnve-xgddqc4rumytx74qaky,,,,,,OPERATIONAL,[],https://www.google.com/maps/search/?api=1&query=HIKARI%20HOUSE%202&query_place_id=ChIJNVE-XgDdQC4RUmYtx74qakY,2026-07-13T02:40:36.047Z,rejected,1.0,['category_rejected'],Kategori utama 'Rumah wisata' teridentifikasi sebagai penginapan/akomodasi,,,data/raw/apify/google_maps/bandar_lampung/2026-07-13/places.json,bandar_lampung
apify_google_maps_ChIJKc35dQDbQC4RoUBXzBxodS4,apify_google_maps,ChIJKc35dQDbQC4RoUBXzBxodS4,rumpai xsdorr,rumpai xsdorr,"H7X8+78Q, Jl. Pulau Tidore, Jagabaya II, Kec. Way Halim, Kota Bandar Lampung, Lampung 35122, Indonesia",Kota Bandar Lampung,"Jagabaya II, Kecamatan Way Halim",,-5.4016781,105.2658446,['rumah wisata'],4.3,3.0,,https://www.google.com/maps/search/?api=1&query=rumpai%20xsdorr&query_place_id=chijkc35dqdbqc4roubxzbxods4,,,,,,OPERATIONAL,[],https://www.google.com/maps/search/?api=1&query=rumpai%20xsdorr&query_place_id=ChIJKc35dQDbQC4RoUBXzBxodS4,2026-07-13T02:40:36.712Z,rejected,1.0,['category_rejected'],Kategori utama 'Rumah wisata' teridentifikasi sebagai penginapan/akomodasi,,,data/raw/apify/google_maps/bandar_lampung/2026-07-13/places.json,bandar_lampung
