canonical_id,operational_status,status_semantic,source_count,source_types,conflict_present,selected_source,selection_reason
can_03603652006f,unknown,unknown,0,,False,unmapped,Closed priority logic: permanently_closed > temporarily_closed > open
can_0adeb1580500,open,observed,1,apify_google_maps,False,apify_google_maps_ChIJvUGIk4lfRy4RjYFIQGljDYE,Closed priority logic: permanently_closed > temporarily_closed > open
can_0d6fb4b4f5f5,open,observed,1,apify_google_maps,False,apify_google_maps_ChIJ_ZN7dM4xQS4RqKGcyVJ_l2Q,Closed priority logic: permanently_closed > temporarily_closed > open
can_106ac0f68f3c,open,observed,1,apify_google_maps,False,apify_google_maps_ChIJ602jCADZQC4R6udS6qDjdqI,Closed priority logic: permanently_closed > temporarily_closed > open
can_10ef515fd263,permanently_closed,observed,1,apify_google_maps,False,apify_google_maps_ChIJd6FrSznbQC4RcNBxf4tnb6k,Closed priority logic: permanently_closed > temporarily_closed > open
can_12014c41253d,open,observed,1,apify_google_maps,False,apify_google_maps_ChIJlymYlODDOC4Rz-yNflT0o5I,Closed priority logic: permanently_closed > temporarily_closed > open
can_151f3bbf542d,open,observed,1,apify_google_maps,False,apify_google_maps_ChIJlWYLzmPYQC4R4dmowybz-K8,Closed priority logic: permanently_closed > temporarily_closed > open
can_1fef284e7d10,open,observed,1,apify_google_maps,False,apify_google_maps_ChIJ8eabclElQS4RwcQA9UtEYfM,Closed priority logic: permanently_closed > temporarily_closed > open
can_2d293ffd5968,open,observed,1,apify_google_maps,False,apify_google_maps_ChIJkeWdujEvQS4RLJuBfaCBglU,Closed priority logic: permanently_closed > temporarily_closed > open
can_31ddff90dde7,open,observed,1,apify_google_maps,False,apify_google_maps_ChIJO8YcXNUnQS4Rrfl_XeUQSsI,Closed priority logic: permanently_closed > temporarily_closed > open
can_3741c2c75bac,temporarily_closed,observed,1,apify_google_maps,False,apify_google_maps_ChIJs2xnIKs-Ry4RJHR5kKUOxz0,Closed priority logic: permanently_closed > temporarily_closed > open
can_3dfaf1ab6bd5,open,observed,1,apify_google_maps,False,apify_google_maps_ChIJO-2SZADFQC4Rr2OTIk-BXXw,Closed priority logic: permanently_closed > temporarily_closed > open
can_43e0dc8c2d98,permanently_closed,observed,1,apify_google_maps,False,apify_google_maps_ChIJGc2QoIjnRi4RHCZ0425Qs-c,Closed priority logic: permanently_closed > temporarily_closed > open
can_460af15d5421,open,observed,1,apify_google_maps,False,apify_google_maps_ChIJublw38UnQS4RRQyHXoWncg8,Closed priority logic: permanently_closed > temporarily_closed > open
can_4724a4080829,temporarily_closed,observed,1,apify_google_maps,False,apify_google_maps_ChIJs5s4mvElRy4RzvNaNJY22NI,Closed priority logic: permanently_closed > temporarily_closed > open
can_4b0cad3a8f7d,open,observed,1,apify_google_maps,False,apify_google_maps_ChIJxQV85mnBPi4RjqJ4TLxKKkI,Closed priority logic: permanently_closed > temporarily_closed > open
can_5172878bb5f9,open,observed,1,apify_google_maps,False,apify_google_maps_ChIJqTP3TW3bQC4RY3c6du0M7-o,Closed priority logic: permanently_closed > temporarily_closed > open
can_59a8f91551ac,open,observed,1,apify_google_maps,False,apify_google_maps_ChIJKxA7awAlQS4RNqFGu6sNH_Y,Closed priority logic: permanently_closed > temporarily_closed > open
can_62baf15e0b65,open,observed,1,apify_google_maps,False,apify_google_maps_ChIJH5YkNwC1QC4RMxt0e4RV5hg,Closed priority logic: permanently_closed > temporarily_closed > open
can_8ab3384516b1,open,observed,1,apify_google_maps,False,apify_google_maps_ChIJF1OnELPZQC4RNu7z_MSug-8,Closed priority logic: permanently_closed > temporarily_closed > open
can_8fc565f41061,temporarily_closed,observed,1,apify_google_maps,False,apify_google_maps_ChIJw1g__eaFRy4RC1OyTXkWKZI,Closed priority logic: permanently_closed > temporarily_closed > open
can_99a07afcd050,open,observed,1,apify_google_maps,False,apify_google_maps_ChIJ6WxBJRQzQS4Rqp566fza-Qc,Closed priority logic: permanently_closed > temporarily_closed > open
can_a4717fc3d0d0,open,observed,1,apify_google_maps,False,apify_google_maps_ChIJ8RD-zB85Ry4RtbudgmRDHyA,Closed priority logic: permanently_closed > temporarily_closed > open
can_b279666e08e8,open,observed,1,apify_google_maps,False,apify_google_maps_ChIJISMV1NgnQS4RIGJ_5Tr11QA,Closed priority logic: permanently_closed > temporarily_closed > open
can_b4b171bfa40f,open,observed,1,apify_google_maps,False,apify_google_maps_ChIJbdI5DAAzPy4RGtC43bBL8JA,Closed priority logic: permanently_closed > temporarily_closed > open
can_b6c7d5a77c88,open,observed,1,apify_google_maps,False,apify_google_maps_ChIJxaW71HADQS4RFSI9EJh4J2g,Closed priority logic: permanently_closed > temporarily_closed > open
can_c101d32a3d74,open,observed,1,apify_google_maps,False,apify_google_maps_ChIJ136aiF65QC4RXRd9rm8H6iY,Closed priority logic: permanently_closed > temporarily_closed > open
can_dac76df4e41d,open,observed,1,apify_google_maps,False,apify_google_maps_ChIJVVlNtwAxQS4R35wmaznjhDA,Closed priority logic: permanently_closed > temporarily_closed > open
can_f3e81e60a2c8,unknown,unknown,0,,False,unmapped,Closed priority logic: permanently_closed > temporarily_closed > open
can_fc960b7cae7f,open,observed,1,apify_google_maps,False,apify_google_maps_ChIJDd6MeQBzRy4RQ1ts6KBCv2I,Closed priority logic: permanently_closed > temporarily_closed > open
