primary_category,row_count,avg_completeness
agrotourism,180,72.66111111111111
beach,339,71.65191740412979
camping,45,71.2
culture,4,73.5
education,11,72.0909090909091
family,62,76.2258064516129
forest,32,73.78125
hill,167,71.62874251497006
history,63,63.3968253968254
island,70,66.22857142857143
lake,29,76.24137931034483
mountain,120,68.10833333333333
museum,42,71.5
nature,41,75.14634146341463
other,1012,72.59288537549408
park,441,70.80725623582767
recreation,167,75.59281437125749
religious,12,69.58333333333333
river,14,72.5
waterfall,207,74.16425120772946
waterpark,72,75.98611111111111
