stage_name,input_rows,output_rows,unique_ids,duplicate_ids,row_multiplier,audit_status
pilot_base,300,300,300,0,1.0,passed
join_canonical_details,300,300,300,0,1.0,passed
join_source_flags,300,300,300,0,1.0,passed
join_review_summary,300,300,300,0,1.0,passed
join_metadata_fields,300,300,300,0,1.0,passed
join_opening_hours,300,300,300,0,1.0,passed
join_facilities,300,300,300,0,1.0,passed
join_local_price_summary,300,300,300,0,1.0,passed
join_external_price_summary,300,300,300,0,1.0,passed
final_enrichment_master,300,300,300,0,1.0,passed
