region,row_count,avg_completeness
Kabupaten Lampung Barat,22,57.09090909090909
Kabupaten Lampung Selatan,29,65.79310344827586
Kabupaten Lampung Tengah,20,59.1
Kabupaten Lampung Timur,20,70.75
Kabupaten Lampung Utara,18,62.166666666666664
Kabupaten Mesuji,13,63.92307692307692
Kabupaten Pesawaran,24,72.58333333333333
Kabupaten Pesisir Barat,14,68.57142857142857
Kabupaten Pringsewu,18,64.16666666666667
Kabupaten Tanggamus,26,66.61538461538461
Kabupaten Tulang Bawang,16,63.5625
Kabupaten Tulang Bawang Barat,15,63.2
Kabupaten Way Kanan,18,61.27777777777778
Kota Bandar Lampung,33,71.96969696969697
Kota Metro,14,70.92857142857143
