source_record_id,source,name,latitude,longitude,dedup_cluster_id,dedup_reason
apify_google_maps_ChIJO8YcXNUnQS4Rrfl_XeUQSsI,apify_google_maps,Hutan Mangrove Petengoran,-5.5707085,105.2410191,,
apify_google_maps_ChIJublw38UnQS4RRQyHXoWncg8,apify_google_maps,Mangrove cuku NyiNyi,-5.5623788,105.2447229,,
apify_google_maps_ChIJ_ZN7dM4xQS4RqKGcyVJ_l2Q,apify_google_maps,Hutan mangrove,-5.7688551,105.1623844,,
apify_google_maps_ChIJkeWdujEvQS4RLJuBfaCBglU,apify_google_maps,Tracking Mangrove,-5.669718,105.208469,,
apify_google_maps_ChIJpbUshRnNQC4R43Fd9Uwpby4,apify_google_maps,Bukit Alam Pujorahayu,-5.3295414,105.0613456,,
apify_google_maps_ChIJIV51KpLVQC4RGc3tog2ZGzk,apify_google_maps,Air Terjun Sinar Tiga(Sukma ilang),-5.530335,105.1034834,,
apify_google_maps_ChIJGyQlqd8rRy4RsgVgcmCEzEo,apify_google_maps,Bukit Gunung Gundul,-5.4659497,105.0133971,,
apify_google_maps_ChIJO_Q2jDcpQS4R6qlN6CTrwtg,apify_google_maps,Air Terjun Lubuk Lawu,-5.5212395,105.1876062,,
apify_google_maps_ChIJFQQP-XzXQC4RllvV30rEsqk,apify_google_maps,Air terjun TALANG RABUN,-5.4960797,105.1607895,,
apify_google_maps_ChIJV_IltCAxQS4Rr4RSikKH2_I,apify_google_maps,Lubuk Jaha Canyon,-5.72609,105.139342,,
apify_google_maps_ChIJa83WGgDTQC4RkZxcUcv3Vpc,apify_google_maps,Air Terjun Umbul Binong,-5.4434511,105.0942083,,
apify_google_maps_ChIJvYtYGKTVQC4R9FShtUb1EIE,apify_google_maps,Air Terjun Mandiri,-5.5218625,105.0831719,,
apify_google_maps_ChIJ_yVEYwAlQS4RQxS2BhLuE80,apify_google_maps,Pahawang Hill,-5.6813251,105.2289293,,
apify_google_maps_ChIJKxA7awAlQS4RNqFGu6sNH_Y,apify_google_maps,Pahawang,-5.6752875,105.2223906,,
apify_google_maps_ChIJ8eabclElQS4RwcQA9UtEYfM,apify_google_maps,Dermaga Pulau Pahawang,-5.6806875,105.2306406,,
apify_google_maps_ChIJWW_ozcklQS4RQfDzpJkuUhk,apify_google_maps,Dermaga Pahawang Besar,-5.6678273,105.2351112,,
apify_google_maps_ChIJuwg8yfQ5QS4RQaTMkAM4UBw,apify_google_maps,Pendopo,-5.8205372,105.2546562,,
