canonical_id,name,verification_status,queries_attempted,sources_checked,retrievable_sources,accepted_sources,external_observations,selected_prices,unresolved_reason,final_release_status
can_1fef284e7d10,Dermaga Pulau Pahawang,completed_no_price,22,1,1,0,0,0,No authoritative price observations found.,completed_no_price
can_151f3bbf542d,Pantai Mutun,completed_no_price,22,1,1,0,0,0,No authoritative price observations found.,completed_no_price
can_cada872752b2,Pantai Sari Ringgung,completed_no_price,22,0,0,0,0,0,No authoritative price observations found.,completed_no_price
can_1f6b9f3c2ceb,Camping Area Sonokeling 1,completed_no_price,22,0,0,0,0,0,No authoritative price observations found.,completed_no_price
can_a0d4ca18f1f7,Kolam renang,completed_no_price,22,0,0,0,0,0,No authoritative price observations found.,completed_no_price
can_17b24ba62485,Water Park Citra Garden,completed_no_price,22,0,0,0,0,0,No authoritative price observations found.,completed_no_price
can_2850f83ad341,Kolam Renang Perahu Layar,completed_no_price,22,0,0,0,0,0,No authoritative price observations found.,completed_no_price
can_58c471e76647,Slanik Waterpark Lampung,completed_no_price,22,1,1,0,0,0,No authoritative price observations found.,completed_no_price
can_1a46f7a6372c,Taman Nasional Way Kambas,completed_no_price,22,0,0,0,0,0,No authoritative price observations found.,completed_no_price
can_b4a866f13078,Camping island,completed_unresolved,22,0,0,0,0,0,No authoritative price observations found.,completed_unresolved
can_5dd47abc65d1,Kolam Renang Tirta Garden,completed_no_price,22,0,0,0,0,0,No authoritative price observations found.,completed_no_price
