record_type,record_id,canonical_id,data_origin,source_url,source_type,manifest_status,created_at,derived_from_fixture,exists_in_mock_fixture,exists_in_previous_mock_output,stale_output_suspected,audit_reason,required_action
source_registry,src_ext_0001,can_1fef284e7d10,real_public_source,https://www.pahawangtour.com,official_website,N/A,2026-07-14T07:37:42.399802+00:00,True,True,True,True,URL and structure matches mock search database,Re-run in clean-room without resume
source_registry,src_ext_0002,can_151f3bbf542d,real_public_source,https://www.pantaimutun.com,official_website,N/A,2026-07-14T07:37:42.403252+00:00,True,True,True,True,URL and structure matches mock search database,Re-run in clean-room without resume
source_registry,src_ext_0003,can_cada872752b2,real_public_source,https://www.facebook.com/pantaisariringgungofficial,official_social_media,N/A,2026-07-14T07:37:42.406211+00:00,True,True,True,True,URL and structure matches mock search database,Re-run in clean-room without resume
source_registry,src_ext_0004,can_1f6b9f3c2ceb,real_public_source,https://www.travelerlampung.com/camping-sonokeling,blog,N/A,2026-07-14T07:37:42.409265+00:00,True,True,True,True,URL and structure matches mock search database,Re-run in clean-room without resume
source_registry,src_ext_0005,can_a0d4ca18f1f7,real_public_source,https://tanggamuskab.go.id/wisata-kolam-renang-tanggamus,government,N/A,2026-07-14T07:37:42.413211+00:00,True,True,True,True,URL and structure matches mock search database,Re-run in clean-room without resume
source_registry,src_ext_0006,can_17b24ba62485,real_public_source,https://citragardenwaterpark.co.id,official_website,N/A,2026-07-14T07:37:42.416850+00:00,True,True,True,True,URL and structure matches mock search database,Re-run in clean-room without resume
source_registry,src_ext_0007,can_2850f83ad341,real_public_source,https://www.instagram.com/kolamperahulayar,official_social_media,N/A,2026-07-14T07:37:42.419687+00:00,True,True,True,True,URL and structure matches mock search database,Re-run in clean-room without resume
source_registry,src_ext_0008,can_58c471e76647,real_public_source,https://www.slanikwaterpark.co.id,official_website,N/A,2026-07-14T07:37:42.422546+00:00,True,True,True,True,URL and structure matches mock search database,Re-run in clean-room without resume
source_registry,src_ext_0009,can_1a46f7a6372c,real_public_source,https://www.lampungtimurkab.go.id/wisata-way-kambas,government,N/A,2026-07-14T07:37:42.425359+00:00,True,True,True,True,URL and structure matches mock search database,Re-run in clean-room without resume
source_registry,src_ext_0010,can_b4a866f13078,real_public_source,https://www.campingislandpringsewu.com,official_website,N/A,2026-07-14T07:37:42.428347+00:00,True,True,True,True,URL and structure matches mock search database,Re-run in clean-room without resume
source_registry,src_ext_0011,can_5dd47abc65d1,real_public_source,https://www.pantauwisata.com/tirta-garden,directory,N/A,2026-07-14T07:37:42.431014+00:00,True,True,True,True,URL and structure matches mock search database,Re-run in clean-room without resume
external_observation,obs_ext_0001,can_1fef284e7d10,real_public_source,https://www.pahawangtour.com,official_website,N/A,2026-07-14T07:37:42.400104+00:00,True,True,True,True,URL and content matches mock search database,Re-run in clean-room without resume
external_observation,obs_ext_0002,can_1fef284e7d10,real_public_source,https://www.pahawangtour.com,official_website,N/A,2026-07-14T07:37:42.400130+00:00,True,True,True,True,URL and content matches mock search database,Re-run in clean-room without resume
external_observation,obs_ext_0003,can_151f3bbf542d,real_public_source,https://www.pantaimutun.com,official_website,N/A,2026-07-14T07:37:42.403372+00:00,True,True,True,True,URL and content matches mock search database,Re-run in clean-room without resume
external_observation,obs_ext_0004,can_151f3bbf542d,real_public_source,https://www.pantaimutun.com,official_website,N/A,2026-07-14T07:37:42.403392+00:00,True,True,True,True,URL and content matches mock search database,Re-run in clean-room without resume
external_observation,obs_ext_0005,can_151f3bbf542d,real_public_source,https://www.pantaimutun.com,official_website,N/A,2026-07-14T07:37:42.403409+00:00,True,True,True,True,URL and content matches mock search database,Re-run in clean-room without resume
external_observation,obs_ext_0006,can_cada872752b2,real_public_source,https://www.facebook.com/pantaisariringgungofficial,official_social_media,N/A,2026-07-14T07:37:42.406330+00:00,True,True,True,True,URL and content matches mock search database,Re-run in clean-room without resume
external_observation,obs_ext_0007,can_cada872752b2,real_public_source,https://www.facebook.com/pantaisariringgungofficial,official_social_media,N/A,2026-07-14T07:37:42.406349+00:00,True,True,True,True,URL and content matches mock search database,Re-run in clean-room without resume
external_observation,obs_ext_0008,can_cada872752b2,real_public_source,https://www.facebook.com/pantaisariringgungofficial,official_social_media,N/A,2026-07-14T07:37:42.406365+00:00,True,True,True,True,URL and content matches mock search database,Re-run in clean-room without resume
external_observation,obs_ext_0009,can_1f6b9f3c2ceb,real_public_source,https://www.travelerlampung.com/camping-sonokeling,blog,N/A,2026-07-14T07:37:42.409362+00:00,True,True,True,True,URL and content matches mock search database,Re-run in clean-room without resume
external_observation,obs_ext_0010,can_a0d4ca18f1f7,real_public_source,https://tanggamuskab.go.id/wisata-kolam-renang-tanggamus,government,N/A,2026-07-14T07:37:42.413446+00:00,True,True,True,True,URL and content matches mock search database,Re-run in clean-room without resume
external_observation,obs_ext_0011,can_17b24ba62485,real_public_source,https://citragardenwaterpark.co.id,official_website,N/A,2026-07-14T07:37:42.416945+00:00,True,True,True,True,URL and content matches mock search database,Re-run in clean-room without resume
external_observation,obs_ext_0012,can_17b24ba62485,real_public_source,https://citragardenwaterpark.co.id,official_website,N/A,2026-07-14T07:37:42.416964+00:00,True,True,True,True,URL and content matches mock search database,Re-run in clean-room without resume
external_observation,obs_ext_0013,can_2850f83ad341,real_public_source,https://www.instagram.com/kolamperahulayar,official_social_media,N/A,2026-07-14T07:37:42.419786+00:00,True,True,True,True,URL and content matches mock search database,Re-run in clean-room without resume
external_observation,obs_ext_0014,can_58c471e76647,real_public_source,https://www.slanikwaterpark.co.id,official_website,N/A,2026-07-14T07:37:42.422631+00:00,True,True,True,True,URL and content matches mock search database,Re-run in clean-room without resume
external_observation,obs_ext_0015,can_58c471e76647,real_public_source,https://www.slanikwaterpark.co.id,official_website,N/A,2026-07-14T07:37:42.422656+00:00,True,True,True,True,URL and content matches mock search database,Re-run in clean-room without resume
external_observation,obs_ext_0016,can_58c471e76647,real_public_source,https://www.slanikwaterpark.co.id,official_website,N/A,2026-07-14T07:37:42.422670+00:00,True,True,True,True,URL and content matches mock search database,Re-run in clean-room without resume
external_observation,obs_ext_0017,can_58c471e76647,real_public_source,https://www.slanikwaterpark.co.id,official_website,N/A,2026-07-14T07:37:42.422687+00:00,True,True,True,True,URL and content matches mock search database,Re-run in clean-room without resume
external_observation,obs_ext_0018,can_1a46f7a6372c,real_public_source,https://www.lampungtimurkab.go.id/wisata-way-kambas,government,N/A,2026-07-14T07:37:42.425453+00:00,True,True,True,True,URL and content matches mock search database,Re-run in clean-room without resume
external_observation,obs_ext_0019,can_1a46f7a6372c,real_public_source,https://www.lampungtimurkab.go.id/wisata-way-kambas,government,N/A,2026-07-14T07:37:42.425471+00:00,True,True,True,True,URL and content matches mock search database,Re-run in clean-room without resume
external_observation,obs_ext_0020,can_1a46f7a6372c,real_public_source,https://www.lampungtimurkab.go.id/wisata-way-kambas,government,N/A,2026-07-14T07:37:42.425487+00:00,True,True,True,True,URL and content matches mock search database,Re-run in clean-room without resume
external_observation,obs_ext_0021,can_1a46f7a6372c,real_public_source,https://www.lampungtimurkab.go.id/wisata-way-kambas,government,N/A,2026-07-14T07:37:42.425502+00:00,True,True,True,True,URL and content matches mock search database,Re-run in clean-room without resume
external_observation,obs_ext_0022,can_5dd47abc65d1,real_public_source,https://www.pantauwisata.com/tirta-garden,directory,N/A,2026-07-14T07:37:42.431110+00:00,True,True,True,True,URL and content matches mock search database,Re-run in clean-room without resume
selected_external_price,vpr_0001,can_1fef284e7d10,real_public_source,https://www.pahawangtour.com,official_website,N/A,2026-07-14T07:37:42.400104+00:00,True,True,True,True,URL and price matches mock search database,Invalidate and re-verify in clean-room
selected_external_price,vpr_0002,can_1fef284e7d10,real_public_source,https://www.pahawangtour.com,official_website,N/A,2026-07-14T07:37:42.400130+00:00,True,True,True,True,URL and price matches mock search database,Invalidate and re-verify in clean-room
selected_external_price,vpr_0003,can_151f3bbf542d,real_public_source,https://www.pantaimutun.com,official_website,N/A,2026-07-14T07:37:42.403372+00:00,True,True,True,True,URL and price matches mock search database,Invalidate and re-verify in clean-room
selected_external_price,vpr_0004,can_151f3bbf542d,real_public_source,https://www.pantaimutun.com,official_website,N/A,2026-07-14T07:37:42.403392+00:00,True,True,True,True,URL and price matches mock search database,Invalidate and re-verify in clean-room
selected_external_price,vpr_0005,can_151f3bbf542d,real_public_source,https://www.pantaimutun.com,official_website,N/A,2026-07-14T07:37:42.403409+00:00,True,True,True,True,URL and price matches mock search database,Invalidate and re-verify in clean-room
selected_external_price,vpr_0006,can_cada872752b2,real_public_source,https://www.facebook.com/pantaisariringgungofficial,official_social_media,N/A,2026-07-14T07:37:42.406330+00:00,True,True,True,True,URL and price matches mock search database,Invalidate and re-verify in clean-room
selected_external_price,vpr_0007,can_cada872752b2,real_public_source,https://www.facebook.com/pantaisariringgungofficial,official_social_media,N/A,2026-07-14T07:37:42.406349+00:00,True,True,True,True,URL and price matches mock search database,Invalidate and re-verify in clean-room
selected_external_price,vpr_0008,can_cada872752b2,real_public_source,https://www.facebook.com/pantaisariringgungofficial,official_social_media,N/A,2026-07-14T07:37:42.406365+00:00,True,True,True,True,URL and price matches mock search database,Invalidate and re-verify in clean-room
selected_external_price,vpr_0009,can_a0d4ca18f1f7,real_public_source,https://tanggamuskab.go.id/wisata-kolam-renang-tanggamus,government,N/A,2026-07-14T07:37:42.413446+00:00,True,True,True,True,URL and price matches mock search database,Invalidate and re-verify in clean-room
selected_external_price,vpr_0010,can_17b24ba62485,real_public_source,https://citragardenwaterpark.co.id,official_website,N/A,2026-07-14T07:37:42.416945+00:00,True,True,True,True,URL and price matches mock search database,Invalidate and re-verify in clean-room
selected_external_price,vpr_0011,can_17b24ba62485,real_public_source,https://citragardenwaterpark.co.id,official_website,N/A,2026-07-14T07:37:42.416964+00:00,True,True,True,True,URL and price matches mock search database,Invalidate and re-verify in clean-room
selected_external_price,vpr_0012,can_2850f83ad341,real_public_source,https://www.instagram.com/kolamperahulayar,official_social_media,N/A,2026-07-14T07:37:42.419786+00:00,True,True,True,True,URL and price matches mock search database,Invalidate and re-verify in clean-room
selected_external_price,vpr_0013,can_58c471e76647,real_public_source,https://www.slanikwaterpark.co.id,official_website,N/A,2026-07-14T07:37:42.422631+00:00,True,True,True,True,URL and price matches mock search database,Invalidate and re-verify in clean-room
selected_external_price,vpr_0014,can_58c471e76647,real_public_source,https://www.slanikwaterpark.co.id,official_website,N/A,2026-07-14T07:37:42.422656+00:00,True,True,True,True,URL and price matches mock search database,Invalidate and re-verify in clean-room
selected_external_price,vpr_0015,can_58c471e76647,real_public_source,https://www.slanikwaterpark.co.id,official_website,N/A,2026-07-14T07:37:42.422670+00:00,True,True,True,True,URL and price matches mock search database,Invalidate and re-verify in clean-room
selected_external_price,vpr_0016,can_58c471e76647,real_public_source,https://www.slanikwaterpark.co.id,official_website,N/A,2026-07-14T07:37:42.422687+00:00,True,True,True,True,URL and price matches mock search database,Invalidate and re-verify in clean-room
selected_external_price,vpr_0017,can_1a46f7a6372c,real_public_source,https://www.lampungtimurkab.go.id/wisata-way-kambas,government,N/A,2026-07-14T07:37:42.425453+00:00,True,True,True,True,URL and price matches mock search database,Invalidate and re-verify in clean-room
selected_external_price,vpr_0018,can_1a46f7a6372c,real_public_source,https://www.lampungtimurkab.go.id/wisata-way-kambas,government,N/A,2026-07-14T07:37:42.425471+00:00,True,True,True,True,URL and price matches mock search database,Invalidate and re-verify in clean-room
selected_external_price,vpr_0019,can_1a46f7a6372c,real_public_source,https://www.lampungtimurkab.go.id/wisata-way-kambas,government,N/A,2026-07-14T07:37:42.425487+00:00,True,True,True,True,URL and price matches mock search database,Invalidate and re-verify in clean-room
selected_external_price,vpr_0020,can_1a46f7a6372c,real_public_source,https://www.lampungtimurkab.go.id/wisata-way-kambas,government,N/A,2026-07-14T07:37:42.425502+00:00,True,True,True,True,URL and price matches mock search database,Invalidate and re-verify in clean-room
coverage_record,can_1fef284e7d10,can_1fef284e7d10,unknown,N/A,N/A,completed_official_unbounded,2026-07-14T07:37:42.628898+00:00,False,False,True,True,Coverage state re-used from previous run via resume manifest,Re-run in clean-room
coverage_record,can_151f3bbf542d,can_151f3bbf542d,unknown,N/A,N/A,completed_verified,2026-07-14T07:37:42.635956+00:00,False,False,True,True,Coverage state re-used from previous run via resume manifest,Re-run in clean-room
coverage_record,can_cada872752b2,can_cada872752b2,unknown,N/A,N/A,completed_official_unbounded,2026-07-14T07:37:42.642978+00:00,False,False,True,True,Coverage state re-used from previous run via resume manifest,Re-run in clean-room
coverage_record,can_1f6b9f3c2ceb,can_1f6b9f3c2ceb,unknown,N/A,N/A,completed_provisional,2026-07-14T07:37:42.650413+00:00,False,False,True,True,Coverage state re-used from previous run via resume manifest,Re-run in clean-room
coverage_record,can_a0d4ca18f1f7,can_a0d4ca18f1f7,unknown,N/A,N/A,completed_provisional,2026-07-14T07:37:42.658862+00:00,False,False,True,True,Coverage state re-used from previous run via resume manifest,Re-run in clean-room
coverage_record,can_17b24ba62485,can_17b24ba62485,unknown,N/A,N/A,completed_official_unbounded,2026-07-14T07:37:42.667471+00:00,False,False,True,True,Coverage state re-used from previous run via resume manifest,Re-run in clean-room
coverage_record,can_2850f83ad341,can_2850f83ad341,unknown,N/A,N/A,completed_official_unbounded,2026-07-14T07:37:42.675540+00:00,False,False,True,True,Coverage state re-used from previous run via resume manifest,Re-run in clean-room
coverage_record,can_58c471e76647,can_58c471e76647,unknown,N/A,N/A,completed_official_unbounded,2026-07-14T07:37:42.683341+00:00,False,False,True,True,Coverage state re-used from previous run via resume manifest,Re-run in clean-room
coverage_record,can_1a46f7a6372c,can_1a46f7a6372c,unknown,N/A,N/A,completed_provisional,2026-07-14T07:37:42.690443+00:00,False,False,True,True,Coverage state re-used from previous run via resume manifest,Re-run in clean-room
coverage_record,can_b4a866f13078,can_b4a866f13078,unknown,N/A,N/A,completed_unresolved,2026-07-14T07:37:42.696764+00:00,False,False,True,True,Coverage state re-used from previous run via resume manifest,Re-run in clean-room
coverage_record,can_5dd47abc65d1,can_5dd47abc65d1,unknown,N/A,N/A,completed_provisional,2026-07-14T07:37:42.703389+00:00,False,False,True,True,Coverage state re-used from previous run via resume manifest,Re-run in clean-room
manifest_completion_state,can_1fef284e7d10,can_1fef284e7d10,unknown,N/A,N/A,completed_official_unbounded,2026-07-14T07:37:42.628898+00:00,False,False,True,True,Completion status cached in external_verification_manifest.json,Delete/ignore manifest and run fresh-run
manifest_completion_state,can_151f3bbf542d,can_151f3bbf542d,unknown,N/A,N/A,completed_verified,2026-07-14T07:37:42.635956+00:00,False,False,True,True,Completion status cached in external_verification_manifest.json,Delete/ignore manifest and run fresh-run
manifest_completion_state,can_cada872752b2,can_cada872752b2,unknown,N/A,N/A,completed_official_unbounded,2026-07-14T07:37:42.642978+00:00,False,False,True,True,Completion status cached in external_verification_manifest.json,Delete/ignore manifest and run fresh-run
manifest_completion_state,can_1f6b9f3c2ceb,can_1f6b9f3c2ceb,unknown,N/A,N/A,completed_provisional,2026-07-14T07:37:42.650413+00:00,False,False,True,True,Completion status cached in external_verification_manifest.json,Delete/ignore manifest and run fresh-run
manifest_completion_state,can_a0d4ca18f1f7,can_a0d4ca18f1f7,unknown,N/A,N/A,completed_provisional,2026-07-14T07:37:42.658862+00:00,False,False,True,True,Completion status cached in external_verification_manifest.json,Delete/ignore manifest and run fresh-run
manifest_completion_state,can_17b24ba62485,can_17b24ba62485,unknown,N/A,N/A,completed_official_unbounded,2026-07-14T07:37:42.667471+00:00,False,False,True,True,Completion status cached in external_verification_manifest.json,Delete/ignore manifest and run fresh-run
manifest_completion_state,can_2850f83ad341,can_2850f83ad341,unknown,N/A,N/A,completed_official_unbounded,2026-07-14T07:37:42.675540+00:00,False,False,True,True,Completion status cached in external_verification_manifest.json,Delete/ignore manifest and run fresh-run
