primary_category,total_places,website_cov,phone_cov,hours_cov,facilities_cov,avg_completeness
agrotourism,26,0,6,9,24,66.34615384615384
beach,31,2,11,9,16,60.16129032258065
camping,4,0,1,0,2,55.0
culture,1,0,0,1,1,75.0
education,1,0,0,0,1,60.0
family,2,0,1,1,2,72.5
forest,5,0,0,3,5,69.0
hill,15,0,2,4,10,59.0
history,15,0,1,5,6,42.0
island,11,0,3,1,5,56.36363636363637
lake,2,0,1,2,2,80.0
mountain,7,0,1,3,6,62.142857142857146
museum,2,0,1,2,2,80.0
nature,3,0,0,0,2,46.666666666666664
other,80,3,15,17,64,60.625
park,50,0,8,22,37,61.6
recreation,16,0,6,7,14,67.1875
religious,2,1,0,2,2,82.5
river,1,0,0,1,1,75.0
waterfall,17,0,3,5,14,63.529411764705884
waterpark,9,2,3,5,7,65.55555555555556
