canonical_id,name,region,primary_category,category_tags,description,address,street,city,postal_code,latitude,longitude,website,phone,google_maps_url,google_place_id,rating,review_count,image_url,source_count,metadata_source_count,metadata_completeness_score,mapping_method,mapping_confidence,last_observed_at,metadata_version,website_semantics,operational_status_semantics,address_semantics,phone_semantics,opening_hours_semantics,facilities_semantics,description_semantics,has_address,has_website,has_phone,has_hours,has_facilities
can_59a8f91551ac,Pahawang,Kabupaten Pesawaran,other,"[""other""]",,"86FC+VXJ, Pulau Pahawang, Pardasuka, Kabupaten Pesawaran, Lampung 35453, Indonesia",,,,-5.6752875,105.2223906,,,https://www.google.com/maps/search/?api=1&query=Pahawang&query_place_id=ChIJKxA7awAlQS4RNqFGu6sNH_Y,ChIJKxA7awAlQS4RNqFGu6sNH_Y,4.8,205.0,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWkjQ27xoKjH72Be0Mer1rwsizvNBTbGHN9AEUuDCeyMLdUAT-IUTwyIvAeBCy741h348chZJU3TV-i16YmCitirCjMwOCGtaE7lERKJhtpMy-wMh1dWPV0_GP9u-VC68PdA47IIpQ=w426-h240-k-no,1,1,75,source_record_id,1.0,2026-07-13T03:18:12.408Z,metadata_backfill_pilot_v1,missing,observed,observed,missing,observed,observed,missing,True,False,False,True,True
can_1fef284e7d10,Dermaga Pulau Pahawang,Kabupaten Pesawaran,island,"[""island"", ""nature""]",,"869J+P7C, Unnamed Road, Pulau Pahawang, Kec. Punduh Pidada, Kabupaten Pesawaran, Lampung 35453, Indonesia",,,,-5.6806875,105.2306406,,+6282184661326,https://www.google.com/maps/search/?api=1&query=Dermaga%20Pulau%20Pahawang&query_place_id=ChIJ8eabclElQS4RwcQA9UtEYfM,ChIJ8eabclElQS4RwcQA9UtEYfM,4.8,795.0,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnT1LKJ3z7YCs6ahkntro7MLcqHQqNnQ9VMjizNTIWAZ2Tm2_nQq_YaTgrdWPDJ3HSvmJNVBUc0ECbVGn1yGky1szj4zlmKFMdSDIHloi0Q8ycFNGgFYVp2Al-bfPtHLhC3PD-Msw=w426-h240-k-no,1,1,70,source_record_id,1.0,2026-07-13T03:18:12.408Z,metadata_backfill_pilot_v1,missing,observed,observed,observed,missing,observed,missing,True,False,True,False,True
can_bb87aac30d54,Puncak Desa Wisata Pujorahayu,Kabupaten Pesawaran,recreation,"[""recreation""]",,"M386+5H2, Pujorahayu, Kec. Negeri Katon, Kabupaten Pesawaran, Lampung 35372, Indonesia",,,,-5.3346179,105.0613758,,,https://www.google.com/maps/search/?api=1&query=Puncak%20Desa%20Wisata%20Pujorahayu&query_place_id=ChIJ7ZROnB7NQC4RiZLVS0roe_g,ChIJ7ZROnB7NQC4RiZLVS0roe_g,4.5,57.0,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGa95vnU60MWllr3AQ5-Dqy40-hKZDUHF8Mu-4hjoPr6KF0MhayCAL6ATH_dMUWhSkSORNBvBECgamph-RP8JVapWCtM-mMUtibesKS67oIiThtwK6hTUehpazgnE3YBXpYD_jq=w408-h306-k-no,1,1,60,source_record_id,1.0,2026-07-13T03:18:13.487Z,metadata_backfill_pilot_v1,missing,observed,observed,missing,missing,observed,missing,True,False,False,False,True
can_ffa92861bb42,Pulau Sijebi,Kabupaten Pesawaran,island,"[""island"", ""nature""]",,"Pulau Legundi, Kec. Punduh Pidada, Kabupaten Pesawaran, Lampung, Indonesia",,,,-5.8194444,105.3438889,,,https://www.google.com/maps/search/?api=1&query=Pulau%20Sijebi&query_place_id=ChIJKQjRtxs_QS4R-ytoQxEyHN0,ChIJKQjRtxs_QS4R-ytoQxEyHN0,4.7,3.0,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFpI_VQIldLyHCBy68KMAChp9XUmV1VqmEd5XM5OYK4bYp_qnNd1EVtoCkUtNP0l7N7-gXWxoQPwSYhYQWpibspBF-JWr4soZTkV4sgWMrYhqD8JYtBwP1HQ5pSM1YdOPYjnQs_=w533-h240-k-no,1,1,45,source_record_id,1.0,2026-07-13T03:18:17.383Z,metadata_backfill_pilot_v1,missing,observed,observed,missing,missing,missing,missing,True,False,False,False,False
can_8ad5903c6bbd,Pantai cukuh bedil,Kabupaten Pringsewu,beach,"[""nature"", ""beach""]",,"86JM+PVH, Pulau Pahawang, Pardasuka, Kabupaten Pringsewu, Lampung, Indonesia",,,,-5.6668531,105.2343273,,,https://www.google.com/maps/search/?api=1&query=Pantai%20cukuh%20bedil&query_place_id=ChIJFSSREgAlQS4RECJTu4V2rwU,ChIJFSSREgAlQS4RECJTu4V2rwU,4.3,3.0,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWl0i8lSEHDODV5WQJ1LzMPCq5zPdT2FS3lb7hgIkmLLUkJwBEunnB-HXp86LMEXtaycWhPoQpQeRsQx36TgN2v9Gf8_UsH2wlfAdWaXzn-K7PmwaCXZ107DhYBRKZFfUT61IdOTD6n3Hufu=w408-h306-k-no,1,1,45,source_record_id,1.0,2026-07-13T03:18:21.418Z,metadata_backfill_pilot_v1,missing,observed,observed,missing,missing,missing,missing,True,False,False,False,False
can_151f3bbf542d,Pantai Mutun,Kabupaten Lampung Selatan,beach,"[""nature"", ""beach""]","Pantai bersuasana santai dengan pasir putih & air jernih, plus terumbu karang untuk snorkeling & selam skuba.","Lampung, Indonesia",,,,-5.5143696,105.2633118,http://www.pantaimutun.com,,https://www.google.com/maps/search/?api=1&query=Pantai%20Mutun&query_place_id=ChIJlWYLzmPYQC4R4dmowybz-K8,ChIJlWYLzmPYQC4R4dmowybz-K8,4.2,5536.0,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWlQRpE4z81Q73XqRBIeDAN6o8FfOJJ0VOyDhQ30-zLJaKhK_5vY4Zx2v_4Df5fbR4WXzg5ZFbthHLTUwcm-lNopStjw_IqYFc3lsm0nnXpRjLHqyGjYBq4wvrYNPuTwvK5sSEYs=w408-h306-k-no,1,1,60,source_record_id,1.0,2026-07-13T03:18:53.512Z,metadata_backfill_pilot_v1,observed,observed,observed,missing,missing,missing,observed,True,True,False,False,False
can_31542a3adb2e,Air terjun ciupang,Kabupaten Pesawaran,waterfall,"[""nature"", ""waterfall""]",,"C27F+7MX, C27, Sumber Jaya, Kec. Hutan, Kabupaten Pesawaran, Lampung 35451, Indonesia",,,,-5.5874011,105.0218351,,+6283824103383,https://www.google.com/maps/search/?api=1&query=Air%20terjun%20ciupang&query_place_id=ChIJIVnmPs7URi4RsN3yHkPlUp4,ChIJIVnmPs7URi4RsN3yHkPlUp4,4.5,319.0,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFpb962fK0FpXV1U6zqSpbIp24fdkL6ETQ7qkzsjeXTfgjX1VNEgKaecQs_Hr77h0_TAnuS1tGzKVXnNMjQeOYvE6VPgqozhZUW8dmzBToNPiLT6G1UE6tvirk_velTOyHAP7w=w408-h544-k-no,1,1,85,source_record_id,1.0,2026-07-13T03:18:57.706Z,metadata_backfill_pilot_v1,missing,observed,observed,observed,observed,observed,missing,True,False,True,True,True
can_ea024c308440,Air terjun keranji,Kabupaten Pesawaran,waterfall,"[""nature"", ""waterfall""]",,"949M+37, Hutan, Kec. Hutan, Kabupaten Pesawaran, Lampung 35453, Indonesia",,,,-5.6323125,105.1331875,,,https://www.google.com/maps/search/?api=1&query=Air%20terjun%20keranji&query_place_id=ChIJ3wIEQAAvQS4Rc_lP7Sb1eRk,ChIJ3wIEQAAvQS4Rc_lP7Sb1eRk,,,,1,1,60,source_record_id,1.0,2026-07-13T03:18:57.706Z,metadata_backfill_pilot_v1,missing,observed,observed,missing,missing,observed,missing,True,False,False,False,True
can_9f9f62569267,Air terjun ciupang,Kabupaten Pesawaran,waterfall,"[""nature"", ""waterfall""]",,"C27F+7MX C27, Sumber Jaya, Kec. Hutan, Kabupaten Pesawaran, Lampung 35451, Indonesia",,,,-5.5874011,105.0218351,,+6283824103383,https://www.google.com/maps/search/?api=1&query=Air%20terjun%20ciupang&query_place_id=ChIJ5Z7Wx0DVRi4Rmc1RmLbF0Tg,ChIJ5Z7Wx0DVRi4Rmc1RmLbF0Tg,,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGcUIQNqRCLRl-Ai8-ZjYjn_R9B392HCvwP02o_MUjZeR1FzpXf9ekf1E4gVSfd4YyGT9bj9iKsMGSo4GplSing5yIAxB7mxF_3mQ_TKEkDVcIFUJd_iDAnz3Pb6gML92g2djnNSO9L9NQ=w408-h544-k-no,1,1,85,source_record_id,1.0,2026-07-13T03:18:57.706Z,metadata_backfill_pilot_v1,missing,observed,observed,observed,observed,observed,missing,True,False,True,True,True
can_4caecae1c000,Teluk betung,Kabupaten Pesawaran,other,"[""other""]",,"74CR+X7Q, Banding Agung, Kec. Punduh Pidada, Kabupaten Pesawaran, Lampung 35453, Indonesia",,,,-5.7275468,105.1407388,,,https://www.google.com/maps/search/?api=1&query=Teluk%20betung&query_place_id=ChIJnz8vIAAxQS4RUyXQMTulJ0c,ChIJnz8vIAAxQS4RUyXQMTulJ0c,,,,1,1,60,source_record_id,1.0,2026-07-13T03:19:00.264Z,metadata_backfill_pilot_v1,missing,observed,observed,missing,missing,observed,missing,True,False,False,False,True
