canonical_id,name,mapping_method,mapping_confidence,metadata_source_count
can_59a8f91551ac,Pahawang,source_record_id,1.0,1
can_1fef284e7d10,Dermaga Pulau Pahawang,source_record_id,1.0,1
can_bb87aac30d54,Puncak Desa Wisata Pujorahayu,source_record_id,1.0,1
can_ffa92861bb42,Pulau Sijebi,source_record_id,1.0,1
can_8ad5903c6bbd,Pantai cukuh bedil,source_record_id,1.0,1
can_151f3bbf542d,Pantai Mutun,source_record_id,1.0,1
can_31542a3adb2e,Air terjun ciupang,source_record_id,1.0,1
can_ea024c308440,Air terjun keranji,source_record_id,1.0,1
can_9f9f62569267,Air terjun ciupang,source_record_id,1.0,1
can_4caecae1c000,Teluk betung,source_record_id,1.0,1
can_f7ccd97342ff,Pulau Pahawangkecil,source_record_id,1.0,1
can_01c9457424a4,Kolam Pemandian Wonotirto,source_record_id,1.0,1
can_cf583713c546,Pantai Klara Lampung,source_record_id,1.0,1
can_b279666e08e8,Aero Travelindo,source_record_id,1.0,1
can_cada872752b2,Pantai Sari Ringgung,source_record_id,1.0,1
can_236985ac79b1,Pulau Tangkil,source_record_id,1.0,1
can_7e4407f19c27,Mr Sunday - Trip Pulau Pahawang,source_record_id,1.0,1
can_83f96132a28e,B.C Lantana,source_record_id,1.0,1
can_dbab64cde3cc,KEBUN JERUK OM DARWIS,source_record_id,1.0,1
can_5d307a1b99f0,Pulau Tangkil,source_record_id,1.0,1
can_cbf58a67baf3,WISATA KEBUN JERUK DAENG PARIS 1,source_record_id,1.0,1
can_26e23b155151,KEBUN ALPUKAT YELLOW Golden Way Harong,source_record_id,1.0,1
can_4db9b666b071,Air terjun Sukma Ilang,source_record_id,1.0,1
can_70d12f0a7aac,Sidodadi Water fall,source_record_id,1.0,1
can_9e088d30e726,Lembah Mamabe,source_record_id,1.0,1
can_a4073e37b1a3,Taman sukaraja,source_record_id,1.0,1
can_2072b3547930,Mata Air Sumberagung1,source_record_id,1.0,1
can_65c1d43cb691,Wisata mata air,source_record_id,1.0,1
can_3741c2c75bac,Pariwisata Batu Kapal,source_record_id,1.0,1
can_6b4de3296b39,Air Terjun Talang Beringin,source_record_id,1.0,1
can_00055c1c8161,Wisata Mata Air Gunung Batu,source_record_id,1.0,1
can_ef591262057e,PARKIRAN WISATA MATA AIR GUNUNG BATU,source_record_id,1.0,1
can_142a3fb45d57,POS 1 Gunung Tanggamus,source_record_id,1.0,1
can_dd7cc4c40c55,Ganong mata air,source_record_id,1.0,1
can_9e82bc01bd42,Taman Wisata Bukit Singkek,source_record_id,1.0,1
can_93ef14c458ec,Bukit Singkek,source_record_id,1.0,1
can_1f6b9f3c2ceb,Camping Area Sonokeling 1,source_record_id,1.0,1
can_46344e0deb0c,Old Steel Bridge,source_record_id,1.0,1
can_ea9c6614c456,Kebon duku bpk supar,source_record_id,1.0,1
can_7a3830c677ef,AIR TERJUN (CURUP),source_record_id,1.0,1
can_b93fe6f09dc1,Pintu 1 Air Terjun Lembah Pelangi Sukamaju,source_record_id,1.0,1
can_01a8f6a5d95c,gunung sari,source_record_id,1.0,1
can_7005c4ec9fc4,Pantai Beringin Saka,source_record_id,1.0,1
can_075f59d24b7d,Gunung Loro ireng,source_record_id,1.0,1
can_8bf098941c4b,Air terjun sarjaya,source_record_id,1.0,1
can_a41aa38612f2,Air terjun way handak,source_record_id,1.0,1
can_d72a6355ec71,Nelayan,source_record_id,1.0,1
can_d5c81ed1e161,Tampian baheula,source_record_id,1.0,1
can_a0d4ca18f1f7,Kolam renang,source_record_id,1.0,1
can_4479573dce23,Kebun lada sinar laut,source_record_id,1.0,1
can_a95502ad98a4,ڤُنْچَاكْ ڳُوْس لِيحْ PUNCAK GUSLIKH,source_record_id,1.0,1
can_43e0dc8c2d98,Teluk berak,source_record_id,1.0,1
can_1fe48893cb08,Puncak Mas,source_record_id,1.0,1
can_5172878bb5f9,Lembah Hijau,source_record_id,1.0,1
can_79bfedda5c4d,Teropong Kota Bukit Sindy,source_record_id,1.0,1
can_57b692bafa39,Bukit Sakura Kemiling,source_record_id,1.0,1
can_60372709f532,Lampung Walk,source_record_id,1.0,1
can_f766e56533cc,Lungsir (Taman Kota),source_record_id,1.0,1
can_1bc7d7c308eb,Kawasan Wisata Sumur Putri,source_record_id,1.0,1
can_17b24ba62485,Water Park Citra Garden,source_record_id,1.0,1
can_1412b75de30a,Tugu Adipura,source_record_id,1.0,1
can_f42a04fe3b9a,Lembah Batu Heritage,source_record_id,1.0,1
can_26b28da9aa2c,Dermaga Pulau Pasaran,source_record_id,1.0,1
can_180f5d4c7bb2,Taman Pahlawan,source_record_id,1.0,1
can_e3c1c7ff90f2,Masjid Agung Al-Furqan Bandar Lampung,source_record_id,1.0,1
can_3c9d25ff4912,Taman Citra Garden,source_record_id,1.0,1
can_7b72130897dd,TAMAN BUNGA INDAH MANDIRI,source_record_id,1.0,1
can_0520bf4cb146,Ruwa Jurai,source_record_id,1.0,1
can_4ed9dccc7fc8,Hendro Taman Hidroponik Ini & Organik,source_record_id,1.0,1
can_adccff754b63,Kampoeng vietnam,source_record_id,1.0,1
can_c89e4264540a,Kampung Agrowidya Wisata,source_record_id,1.0,1
can_2b57343dd504,Samar Scout Camp,source_record_id,1.0,1
can_30bffb5fae0c,Taman Cintaku,source_record_id,1.0,1
can_48b4908d30ee,pantai duta wisata,source_record_id,1.0,1
can_b32ad9907744,Kawasan Konservasi mangrov kota Bandar Lampung,source_record_id,1.0,1
can_106ac0f68f3c,Gus Planters,source_record_id,1.0,1
can_0f9e92c32c56,MARTADINATA HILLS,source_record_id,1.0,1
can_3616a9efeb0d,Situs Keratuan Balau,source_record_id,1.0,1
can_04a90c3fe54e,POHON KEHIDUPAN FESINDO,source_record_id,1.0,1
can_01a1fc1a6ff9,Kebun langit Group Kepiting Nyablak,source_record_id,1.0,1
can_00d338703fa6,Taman komarudin,source_record_id,1.0,1
can_02528a834d43,Monk Forest,source_record_id,1.0,1
can_05c71e49f699,Mural Pengantin Adat Lampung,source_record_id,1.0,1
can_c11290c7c49e,Curug Mbah Gimo,source_record_id,1.0,1
can_01e0764c07d9,Air terjun gadingan,source_record_id,1.0,1
can_07f1c277cc43,Sawah yuk ari,source_record_id,1.0,1
can_69d3f2d38cb6,Kebun Raya Liwa,source_record_id,1.0,1
can_dc55b76174dd,TIKUNGAN KEGERINGAN,source_record_id,1.0,1
can_8dbc09e7534f,Curup way ngison,source_record_id,1.0,1
can_029b39f27827,Rumah mbh slamet,source_record_id,1.0,1
can_3b6a4446ea0d,"MT Seminung, 1881 Mdpl",source_record_id,1.0,1
can_d438db57b470,Pantai Sendung,source_record_id,1.0,1
can_02108f555528,WISATA BATU API,source_record_id,1.0,1
can_026ddad74f2b,Puncak Gajah,source_record_id,1.0,1
can_363dfc813918,Sebalang Sky,source_record_id,1.0,1
can_720fb2c2e8a5,Pantai Canti Kalianda,source_record_id,1.0,1
can_68d3dfe705e8,Pantai Ketang,source_record_id,1.0,1
can_45f5aeecef58,Cecakhah way pekhos,source_record_id,1.0,1
can_7ef4299202c4,Menara Siger Lampung,source_record_id,1.0,1
can_1c55fb1a056f,Taman TOGA (Tanaman Obat Keluarga),source_record_id,1.0,1
can_a992162a2163,Way Telaga Bendungan (WTB),source_record_id,1.0,1
can_1ab913eb55bf,Pantai minangrua,source_record_id,1.0,1
can_3f7d38e8cabe,Air Panas di Pantai Kalianda,source_record_id,1.0,1
can_03f151672366,Pantai kerang mas,source_record_id,1.0,1
can_dc4f5173460a,Pulau Sekepal,source_record_id,1.0,1
can_472dcadf2e91,Teluk Nipah Kalianda,source_record_id,1.0,1
can_66fdd8bc783d,Water World Lampung,source_record_id,1.0,1
can_d94d13b0739d,Kawasan Wisata Agroforestri ITERA,source_record_id,1.0,1
can_23c13bac03c9,"WISGRA SUNGAI WAY KANDIS, Trikora",source_record_id,1.0,1
can_2850f83ad341,Kolam Renang Perahu Layar,source_record_id,1.0,1
can_58c471e76647,Slanik Waterpark Lampung,source_record_id,1.0,1
can_118fd34cfb53,PANTAI MUARA INDAH SUAK,source_record_id,1.0,1
can_a18ea9af3538,Pantai Teluk Nipah Kalianda,source_record_id,1.0,1
can_110646772b01,Pasir wisata pasir putih,source_record_id,1.0,1
can_379d368b7122,Pulau Sulah,source_record_id,1.0,1
can_032df40e15a9,BARAQBAH BEACH NATURE,source_record_id,1.0,1
can_3b7d06cd5ee1,Pantai Kedu Sinar Laut,source_record_id,1.0,1
can_57c6de033708,Canti Kalianda Beach,source_record_id,1.0,1
can_33e649f92e8d,Tanjung BEO Wanawisata Nirwana Resort,source_record_id,1.0,1
can_aae582205b02,Pantai Tembakak Krui,source_record_id,1.0,1
can_364b0dfc9dea,Keday nelayan vanie,source_record_id,1.0,1
can_a13718fb6f35,Tebing batu manula tnbbs,source_record_id,1.0,1
can_847ed2298586,Pantai Melasti,source_record_id,1.0,1
can_01336cdc6ae6,Pantai Pase,source_record_id,1.0,1
can_4f2843746fe0,Pantai BUDANGIN,source_record_id,1.0,1
can_bbfb7298f102,PANTAI UJUNG,source_record_id,1.0,1
can_0cc93e404ff4,Bukit way pintau,source_record_id,1.0,1
can_6f29bc97913a,Bendungan Cekdam Way laay,source_record_id,1.0,1
can_079935eafadb,Pantai penggawa v tengah,source_record_id,1.0,1
can_23165c99d33c,Pantai Penaga Resort,source_record_id,1.0,1
can_6997564dc98d,Miso 4 saudara,source_record_id,1.0,1
can_55959c4e17fd,Durian Urut,source_record_id,1.0,1
can_9a5f3d1ef301,Lovina Krui Surf | penginapan krui | Camp Surf Krui,source_record_id,1.0,1
can_2678cb656d1f,"1&2 Beefree Beach Bar & Surf Lesson. sewa papan surfing, open trip",source_record_id,1.0,1
can_2f42e3897ac9,Taman Wisata Rafa,source_record_id,1.0,1
can_b06c1efc55fa,Gajah Mandiri,source_record_id,1.0,1
can_9027a53eb791,Bukit Sidoluhur,source_record_id,1.0,1
can_00f33a88d2dd,Bukit Gg. Gaul,source_record_id,1.0,1
