canonical_id,name,missing_fields,completeness_score
can_59a8f91551ac,Pahawang,phone;description,85
can_1fef284e7d10,Dermaga Pulau Pahawang,opening_hours;description,80
can_bb87aac30d54,Puncak Desa Wisata Pujorahayu,phone;opening_hours;description,70
can_ffa92861bb42,Pulau Sijebi,phone;opening_hours;facilities;description,55
can_8ad5903c6bbd,Pantai cukuh bedil,phone;opening_hours;facilities;description,55
can_151f3bbf542d,Pantai Mutun,phone;opening_hours;facilities,60
can_31542a3adb2e,Air terjun ciupang,description,95
can_ea024c308440,Air terjun keranji,phone;opening_hours;description,70
can_9f9f62569267,Air terjun ciupang,description,95
can_4caecae1c000,Teluk betung,phone;opening_hours;description,70
can_f7ccd97342ff,Pulau Pahawangkecil,phone;opening_hours;facilities;description,55
can_01c9457424a4,Kolam Pemandian Wonotirto,description,95
can_b279666e08e8,Aero Travelindo,opening_hours;description,80
can_cada872752b2,Pantai Sari Ringgung,opening_hours;facilities,70
can_236985ac79b1,Pulau Tangkil,phone;opening_hours;facilities,60
can_7e4407f19c27,Mr Sunday - Trip Pulau Pahawang,facilities;description,80
can_83f96132a28e,B.C Lantana,phone;opening_hours;description,70
can_dbab64cde3cc,KEBUN JERUK OM DARWIS,description,95
can_5d307a1b99f0,Pulau Tangkil,opening_hours;description,80
can_cbf58a67baf3,WISATA KEBUN JERUK DAENG PARIS 1,description,95
can_26e23b155151,KEBUN ALPUKAT YELLOW Golden Way Harong,description,95
can_4db9b666b071,Air terjun Sukma Ilang,phone;opening_hours;description,70
can_70d12f0a7aac,Sidodadi Water fall,phone;opening_hours;description,70
can_9e088d30e726,Lembah Mamabe,opening_hours;description,80
can_a4073e37b1a3,Taman sukaraja,phone;opening_hours;description,70
can_2072b3547930,Mata Air Sumberagung1,description,95
can_65c1d43cb691,Wisata mata air,phone;opening_hours;description,70
can_3741c2c75bac,Pariwisata Batu Kapal,phone;opening_hours;description,70
can_6b4de3296b39,Air Terjun Talang Beringin,phone;opening_hours;description,70
can_00055c1c8161,Wisata Mata Air Gunung Batu,phone;description,85
can_ef591262057e,PARKIRAN WISATA MATA AIR GUNUNG BATU,description,95
can_142a3fb45d57,POS 1 Gunung Tanggamus,phone;opening_hours;description,70
can_dd7cc4c40c55,Ganong mata air,phone;opening_hours;description,70
can_9e82bc01bd42,Taman Wisata Bukit Singkek,phone;opening_hours;facilities;description,55
can_93ef14c458ec,Bukit Singkek,phone;description,85
can_1f6b9f3c2ceb,Camping Area Sonokeling 1,phone;opening_hours;description,70
can_46344e0deb0c,Old Steel Bridge,phone;opening_hours;facilities;description,55
can_ea9c6614c456,Kebon duku bpk supar,phone;opening_hours;description,70
can_7a3830c677ef,AIR TERJUN (CURUP),phone;opening_hours;facilities;description,55
can_b93fe6f09dc1,Pintu 1 Air Terjun Lembah Pelangi Sukamaju,phone;description,85
can_01a8f6a5d95c,gunung sari,phone;opening_hours;description,70
can_7005c4ec9fc4,Pantai Beringin Saka,phone;opening_hours;description,70
can_075f59d24b7d,Gunung Loro ireng,phone;description,85
can_8bf098941c4b,Air terjun sarjaya,phone;description,85
can_a41aa38612f2,Air terjun way handak,phone;opening_hours;description,70
