region,total_places,website_cov,phone_cov,hours_cov,facilities_cov,avg_completeness
Kabupaten Lampung Barat,22,22,1,2,10,58.86363636363637
Kabupaten Lampung Selatan,29,29,8,10,17,70.6896551724138
Kabupaten Lampung Tengah,20,20,3,5,11,64.0
Kabupaten Lampung Timur,20,20,5,9,19,78.75
Kabupaten Lampung Utara,18,18,1,6,13,68.88888888888889
Kabupaten Mesuji,13,13,2,4,10,72.6923076923077
Kabupaten Pesawaran,24,24,13,9,20,79.16666666666667
Kabupaten Pesisir Barat,14,14,5,6,11,74.64285714285714
Kabupaten Pringsewu,18,18,3,3,15,71.66666666666667
Kabupaten Tanggamus,26,26,2,7,21,71.92307692307692
Kabupaten Tulang Bawang,16,16,2,5,12,70.3125
Kabupaten Tulang Bawang Barat,15,15,2,3,14,73.33333333333333
Kabupaten Way Kanan,18,18,1,4,13,68.05555555555556
Kota Bandar Lampung,33,33,12,18,26,78.03030303030303
Kota Metro,14,14,3,8,11,76.78571428571429
