canonical_id,operational_status,status_semantic,source_count,source_types,conflict_present,selected_source,selection_reason
can_00055c1c8161,open,observed,1,apify_google_maps,False,apify_google_maps_ChIJCTSkIQA9Ry4RdjCMaWRTlys,Closed priority logic: permanently_closed > temporarily_closed > open
can_003c18b65ec6,open,observed,1,apify_google_maps,False,apify_google_maps_ChIJg_TXmBTLOC4RkZDpcLtILh8,Closed priority logic: permanently_closed > temporarily_closed > open
can_004135856044,open,observed,1,apify_google_maps,False,apify_google_maps_ChIJ66WxUgo0Py4RtlW9fCIAo1U,Closed priority logic: permanently_closed > temporarily_closed > open
can_0073d9414900,open,observed,1,apify_google_maps,False,apify_google_maps_ChIJfdgGTgDDOC4RUZWj_KG8LOE,Closed priority logic: permanently_closed > temporarily_closed > open
can_0091b7447287,open,observed,1,apify_google_maps,False,apify_google_maps_ChIJp-1eAgA1Ry4RTwON2wROBiU,Closed priority logic: permanently_closed > temporarily_closed > open
can_00d338703fa6,open,observed,1,apify_google_maps,False,apify_google_maps_ChIJle2K-9bFQC4RXlOPEXGrY10,Closed priority logic: permanently_closed > temporarily_closed > open
can_00e73f54493a,open,observed,1,apify_google_maps,False,apify_google_maps_ChIJrfKBttrAPi4Rje0Y7johsDU,Closed priority logic: permanently_closed > temporarily_closed > open
can_00f33a88d2dd,open,observed,1,apify_google_maps,False,apify_google_maps_ChIJVRgxUgA1Ry4RNQ20CRODs0U,Closed priority logic: permanently_closed > temporarily_closed > open
can_01336cdc6ae6,open,observed,1,apify_google_maps,False,apify_google_maps_ChIJp8K70Iq6Ry4RRotuJBisHAw,Closed priority logic: permanently_closed > temporarily_closed > open
can_0184d61fb09d,open,observed,1,apify_google_maps,False,apify_google_maps_ChIJ2TbU_Xy_QC4R__duc8jkUQE,Closed priority logic: permanently_closed > temporarily_closed > open
can_01a1fc1a6ff9,open,observed,1,apify_google_maps,False,apify_google_maps_ChIJB_T3JADbQC4RygZ2MmmP9tU,Closed priority logic: permanently_closed > temporarily_closed > open
can_01a8f6a5d95c,open,observed,1,apify_google_maps,False,apify_google_maps_ChIJ81y2RQAfRy4RpN01cwaNp3w,Closed priority logic: permanently_closed > temporarily_closed > open
can_01c9457424a4,open,observed,1,apify_google_maps,False,apify_google_maps_ChIJH4xXCBMrQS4RfNI7dPBb-5E,Closed priority logic: permanently_closed > temporarily_closed > open
