region,total_attractions,mapped_attractions,mapping_rate,address_coverage,phone_coverage,website_coverage,opening_hours_coverage,facilities_coverage
Kabupaten Lampung Barat,248,218,0.8790322580645161,0.8790322580645161,0.21774193548387097,0.03225806451612903,0.2782258064516129,0.7298387096774194
Kabupaten Lampung Selatan,396,361,0.9116161616161617,0.9116161616161617,0.2878787878787879,0.03535353535353535,0.4116161616161616,0.7196969696969697
Kabupaten Lampung Tengah,214,198,0.9252336448598131,0.9252336448598131,0.1822429906542056,0.018691588785046728,0.2616822429906542,0.7710280373831776
Kabupaten Lampung Timur,206,206,1.0,1.0,0.23786407766990292,0.014563106796116505,0.4320388349514563,0.8640776699029126
Kabupaten Lampung Utara,168,163,0.9702380952380952,0.9702380952380952,0.15476190476190477,0.017857142857142856,0.2916666666666667,0.8333333333333334
Kabupaten Mesuji,66,64,0.9696969696969697,0.9696969696969697,0.13636363636363635,0.0,0.2878787878787879,0.8787878787878788
Kabupaten Pesawaran,280,279,0.9964285714285714,0.9964285714285714,0.3357142857142857,0.04285714285714286,0.4357142857142857,0.8
Kabupaten Pesisir Barat,91,88,0.967032967032967,0.967032967032967,0.26373626373626374,0.02197802197802198,0.3956043956043956,0.7802197802197802
Kabupaten Pringsewu,170,169,0.9941176470588236,0.9941176470588236,0.23529411764705882,0.01764705882352941,0.37058823529411766,0.8823529411764706
Kabupaten Tanggamus,337,330,0.9792284866468842,0.9792284866468842,0.18100890207715134,0.02967359050445104,0.35311572700296734,0.8367952522255193
Kabupaten Tulang Bawang,125,117,0.936,0.936,0.144,0.008,0.336,0.848
Kabupaten Tulang Bawang Barat,107,106,0.9906542056074766,0.9906542056074766,0.17757009345794392,0.009345794392523364,0.3644859813084112,0.9158878504672897
Kabupaten Way Kanan,160,156,0.975,0.975,0.1875,0.0125,0.2875,0.85
Kota Bandar Lampung,473,454,0.959830866807611,0.9577167019027484,0.32346723044397463,0.040169133192389,0.40380549682875266,0.6511627906976745
Kota Metro,89,83,0.9325842696629213,0.9325842696629213,0.24719101123595505,0.011235955056179775,0.42696629213483145,0.7078651685393258
