record_type,record_id,canonical_id,source_id,source_url,derived_from_mock,previous_status,corrected_status,action_required,notes
source_registry,src_ext_0001,can_1fef284e7d10,src_ext_0001,https://www.pahawangtour.com,True,verified,simulated_not_verified,reverify_with_real_public_source,Source src_ext_0001 for can_1fef284e7d10 derived from mock search results.
source_registry,src_ext_0002,can_151f3bbf542d,src_ext_0002,https://www.pantaimutun.com,True,verified,simulated_not_verified,reverify_with_real_public_source,Source src_ext_0002 for can_151f3bbf542d derived from mock search results.
source_registry,src_ext_0003,can_cada872752b2,src_ext_0003,https://www.facebook.com/pantaisariringgungofficial,True,verified,simulated_not_verified,reverify_with_real_public_source,Source src_ext_0003 for can_cada872752b2 derived from mock search results.
source_registry,src_ext_0004,can_1f6b9f3c2ceb,src_ext_0004,https://www.travelerlampung.com/camping-sonokeling,True,probable,simulated_not_verified,reverify_with_real_public_source,Source src_ext_0004 for can_1f6b9f3c2ceb derived from mock search results.
source_registry,src_ext_0005,can_a0d4ca18f1f7,src_ext_0005,https://tanggamuskab.go.id/wisata-kolam-renang-tanggamus,True,verified,simulated_not_verified,reverify_with_real_public_source,Source src_ext_0005 for can_a0d4ca18f1f7 derived from mock search results.
source_registry,src_ext_0006,can_17b24ba62485,src_ext_0006,https://citragardenwaterpark.co.id,True,verified,simulated_not_verified,reverify_with_real_public_source,Source src_ext_0006 for can_17b24ba62485 derived from mock search results.
source_registry,src_ext_0007,can_2850f83ad341,src_ext_0007,https://www.instagram.com/kolamperahulayar,True,verified,simulated_not_verified,reverify_with_real_public_source,Source src_ext_0007 for can_2850f83ad341 derived from mock search results.
source_registry,src_ext_0008,can_58c471e76647,src_ext_0008,https://www.slanikwaterpark.co.id,True,verified,simulated_not_verified,reverify_with_real_public_source,Source src_ext_0008 for can_58c471e76647 derived from mock search results.
source_registry,src_ext_0009,can_1a46f7a6372c,src_ext_0009,https://www.lampungtimurkab.go.id/wisata-way-kambas,True,verified,simulated_not_verified,reverify_with_real_public_source,Source src_ext_0009 for can_1a46f7a6372c derived from mock search results.
source_registry,src_ext_0010,can_b4a866f13078,src_ext_0010,https://www.campingislandpringsewu.com,True,verified,simulated_not_verified,reverify_with_real_public_source,Source src_ext_0010 for can_b4a866f13078 derived from mock search results.
source_registry,src_ext_0011,can_5dd47abc65d1,src_ext_0011,https://www.pantauwisata.com/tirta-garden,True,probable,simulated_not_verified,reverify_with_real_public_source,Source src_ext_0011 for can_5dd47abc65d1 derived from mock search results.
external_observation,obs_ext_0001,can_1fef284e7d10,src_ext_0001,https://www.pahawangtour.com,True,official_live_unbounded,simulated_only,reverify_with_real_public_source,Observation obs_ext_0001 derived from mock search results.
external_observation,obs_ext_0002,can_1fef284e7d10,src_ext_0001,https://www.pahawangtour.com,True,official_live_unbounded,simulated_only,reverify_with_real_public_source,Observation obs_ext_0002 derived from mock search results.
external_observation,obs_ext_0003,can_151f3bbf542d,src_ext_0002,https://www.pantaimutun.com,True,verified_current,simulated_only,reverify_with_real_public_source,Observation obs_ext_0003 derived from mock search results.
external_observation,obs_ext_0004,can_151f3bbf542d,src_ext_0002,https://www.pantaimutun.com,True,verified_current,simulated_only,reverify_with_real_public_source,Observation obs_ext_0004 derived from mock search results.
external_observation,obs_ext_0005,can_151f3bbf542d,src_ext_0002,https://www.pantaimutun.com,True,verified_current,simulated_only,reverify_with_real_public_source,Observation obs_ext_0005 derived from mock search results.
external_observation,obs_ext_0006,can_cada872752b2,src_ext_0003,https://www.facebook.com/pantaisariringgungofficial,True,official_live_unbounded,simulated_only,reverify_with_real_public_source,Observation obs_ext_0006 derived from mock search results.
