canonical_id_1,name_1,place_id_1,canonical_id_2,name_2,place_id_2,distance_meters,fuzzy_score
can_59a8f91551ac,Pahawang,ChIJKxA7awAlQS4RNqFGu6sNH_Y,can_d5eff4e1d4aa,Pulau Pahawang,ChIJA3CJXGElQS4ROabEI6LQB4M,1.8,100.0
can_31542a3adb2e,Air terjun ciupang,ChIJIVnmPs7URi4RsN3yHkPlUp4,can_9f9f62569267,Air terjun ciupang,ChIJ5Z7Wx0DVRi4Rmc1RmLbF0Tg,0.0,100.0
can_236985ac79b1,Pulau Tangkil,ChIJV9J7kovYQC4REcCAPwx6t2A,can_5d307a1b99f0,Pulau Tangkil,ChIJnUTn7YvYQC4RsjyL8o8AP24,54.2,100.0
can_9e82bc01bd42,Taman Wisata Bukit Singkek,ChIJg865Qe8jRy4ReSwfalfvNpk,can_93ef14c458ec,Bukit Singkek,ChIJjXslS4AjRy4RwberO_wp7d8,6.6,100.0
can_f5d2a834c853,Pantai Duta Wisata,ChIJsQGr77rZQC4RUqceH_Mvg2c,can_48b4908d30ee,pantai duta wisata,ChIJ-2QO2_7ZQC4RoQKv8IOmh4c,2.0,100.0
can_720fb2c2e8a5,Pantai Canti Kalianda,ChIJH1-_iL4TQS4RdhiL1cPcaMs,can_57c6de033708,Canti Kalianda Beach,ChIJI9NrVA0TQS4RappCXJQ0FCk,0.0,100.0
can_68d3dfe705e8,Pantai Ketang,ChIJiU_CA0cQQS4R5bvhYn8l5rA,can_d67003250b89,Ketang Beach,ChIJ2zoACS0RQS4RunUT7DFHHKs,0.0,100.0
can_20925ee097e7,"Pemandian Air Panas di Laut, Kalianda",ChIJPYrYwYMRQS4RD5aUIZwZn7I,can_3f7d38e8cabe,Air Panas di Pantai Kalianda,ChIJaXqaPwgRQS4RKwhoRkOv2_c,70.9,89.4
can_1ab913eb55bf,Pantai minangrua,ChIJ64QzYBp1QS4Rrgov0QVeIWs,can_f7ee90698ad2,Pantai Minang Rua,ChIJq6qqqs50QS4RAXjdWfx6uVw,16.5,94.7
can_cb7c807ea0c9,Pulau Panjurit,ChIJcwlhT36fQS4Ri2aFWzg4dfg,can_bd8c8a1c5d56,Pulau Panjurit,ChIJm4_FqoB1QS4R3AhM4eaqx_M,94.1,100.0
can_472dcadf2e91,Teluk Nipah Kalianda,ChIJc6E6r18bQS4RdDJEQfA3QQQ,can_a18ea9af3538,Pantai Teluk Nipah Kalianda,ChIJrx43FRwaQS4RWHwrFJ_Sujg,0.0,100.0
can_847ed2298586,Pantai Melasti,ChIJ9ZNon4S6Ry4R42rBqRNAEoI,can_c24ebd1c0d22,Melasti Beach Lampung,ChIJ7XAMm0O7Ry4RKzX3GNf9e-0,0.0,100.0
can_ef5885122cd0,Ground Camp Krui - Tent,ChIJPRMfWs3qRy4R2tlWVvAr5Z8,can_9f4b1e0c02e6,Ground Camp Krui - Tent,ChIJa8cYWs3qRy4RzRLV7-FKNvY,0.0,100.0
can_09b986ad7cef,Curup Kereta,ChIJ_5JhQwWOOC4RvF5RY7p1NbU,can_971ef616f035,Air Terjun KERETA,ChIJDbddQwWOOC4RSAJ9kpCrMzc,0.5,100.0
can_44c74df9cd0a,PEMANDIAN AIR NANGAN,ChIJ0TtOadeFOC4Rc6_owTDo9Zw,can_d480cc423a8f,Pemandian kali Nangan,ChIJ67zNQ7GFOC4R4lAw_VFL6Dg,17.2,85.7
can_11181c5bec13,Taman berwarna pingled 21,ChIJ-6Ek6qK9QC4RB0oj8O3UPmU,can_58c807b2db79,Taman berwarna pingled 22,ChIJJdkG9VO9QC4RRovhMWoYnxY,26.4,94.7
can_f7e32d552b52,bumi arum,ChIJVVVVVSkyRy4RtOEXEAR9D-Q,can_74048e2144c9,Bumi Arum,ChIJramX8iwyRy4RyS_oq2aGGLs,0.0,100.0
