region,excluded_free,excluded_non_attraction,manual_review,not_applicable,research
Kabupaten Lampung Barat,15,1,6,0,0
Kabupaten Lampung Selatan,7,0,19,0,3
Kabupaten Lampung Tengah,10,0,10,0,0
Kabupaten Lampung Timur,11,1,7,0,1
Kabupaten Lampung Utara,10,1,7,0,0
Kabupaten Mesuji,3,4,6,0,0
Kabupaten Pesawaran,11,0,12,0,1
Kabupaten Pesisir Barat,8,0,6,0,0
Kabupaten Pringsewu,6,2,9,0,1
Kabupaten Tanggamus,16,0,7,1,2
Kabupaten Tulang Bawang,8,3,4,0,1
Kabupaten Tulang Bawang Barat,7,0,8,0,0
Kabupaten Way Kanan,11,0,7,0,0
Kota Bandar Lampung,14,0,18,0,1
Kota Metro,8,1,5,0,0
