canonical_id,name,research_status,observations_found,selected_prices,research_confidence
can_1fef284e7d10,Dermaga Pulau Pahawang,completed_with_price,2,2,0.9
can_151f3bbf542d,Pantai Mutun,completed_with_price,6,6,0.9
can_cada872752b2,Pantai Sari Ringgung,completed_with_price,5,5,0.9
can_1f6b9f3c2ceb,Camping Area Sonokeling 1,completed_no_current_price,0,0,0.0
can_a0d4ca18f1f7,Kolam renang,completed_no_current_price,0,0,0.0
can_17b24ba62485,Water Park Citra Garden,completed_with_price,3,3,0.9
can_2850f83ad341,Kolam Renang Perahu Layar,completed_with_price,1,1,0.9
can_58c471e76647,Slanik Waterpark Lampung,completed_with_price,5,5,0.9
can_1a46f7a6372c,Taman Nasional Way Kambas,completed_with_price,8,5,0.9
can_b4a866f13078,Camping island,completed_no_current_price,0,0,0.0
can_5dd47abc65d1,Kolam Renang Tirta Garden,completed_with_price,2,2,0.9
