canonical_id,name,region,primary_category,source_count,rating,review_count,classification_confidence,classification_reason,source_url,audit_status,audit_notes
can_ed64a4a41e5b,Abrar,Kota Bandar Lampung,family,1,,,0.5,Kategori 'Taman Bermain' tidak terklasifikasi secara otomatis,https://www.google.com/maps/search/?api=1&query=Abrar&query_place_id=ChIJ7RVqNwDZQC4R5A85exTf8yw,PENDING,Pending manual validation
can_6b208a970ffa,Alun-alun Panarangan,Kabupaten Lampung Utara,park,1,,,0.5,Kategori 'Leisure=Park' tidak terklasifikasi secara otomatis,https://www.openstreetmap.org/way/1040744451,PENDING,Pending manual validation
can_04bc8cb9c642,Area Kebun Benih Inti BPTP,Kabupaten Lampung Selatan,agrotourism,1,,,0.5,Kategori 'Leisure=Park' tidak terklasifikasi secara otomatis,https://www.openstreetmap.org/node/3201046112,PENDING,Pending manual validation
can_0a4ec4cf0281,Aula Djasta Ba'in Desa Sidoasri,Kabupaten Lampung Selatan,park,1,,,0.5,Kategori 'Leisure=Park' tidak terklasifikasi secara otomatis,https://www.openstreetmap.org/node/10044106395,PENDING,Pending manual validation
can_11c841a0c44f,BK 2,Kabupaten Way Kanan,other,1,,,0.5,Kategori 'Tourism=Viewpoint' tidak terklasifikasi secara otomatis,https://www.openstreetmap.org/node/7973241601,PENDING,Pending manual validation
can_52c3e2c48aaf,Barong bukit alas ronggang garden cafe,Kabupaten Tanggamus,hill,1,5.0,1.0,0.5,Kategori 'Taman' tanpa sinyal wisata khusus,https://www.google.com/maps/search/?api=1&query=Barong%20bukit%20alas%20ronggang%20garden%20cafe&query_place_id=ChIJ8TwbXgAVRy4RTvIyB8QIplg,PENDING,Pending manual validation
can_4db7990f4e0d,Benteng Pertahanan Raden Inten II,Kabupaten Lampung Selatan,history,1,,,0.5,Kategori 'Historic=Monument' tidak terklasifikasi secara otomatis,https://www.openstreetmap.org/way/741209853,PENDING,Pending manual validation
can_ad3d80965568,Bukit Embun National Park,Kabupaten Lampung Barat,hill,1,4.3,8.0,0.5,Kategori 'Taman' tanpa sinyal wisata khusus,https://www.google.com/maps/search/?api=1&query=Bukit%20Embun%20National%20Park&query_place_id=ChIJWUq8WwCPRy4RkW3uTUFHIW0,PENDING,Pending manual validation
can_c549753ab53a,Bukit Pontok,Kabupaten Pringsewu,hill,1,5.0,1.0,0.5,Kategori 'Taman' tanpa sinyal wisata khusus,https://www.google.com/maps/search/?api=1&query=Bukit%20Pontok&query_place_id=ChIJd8ll6tTTQC4R6JoiiN9Z1HQ,PENDING,Pending manual validation
can_65cf59c09ffd,Cagar Budaya Sipahit Lidah,Kabupaten Lampung Barat,history,1,,,0.5,Kategori 'Historic=Archaeological Site' tidak terklasifikasi secara otomatis,https://www.openstreetmap.org/way/652445818,PENDING,Pending manual validation
can_5ad8fc6842b4,Camping Ground GIGI HIU by BAGASFEKA,Kabupaten Tanggamus,camping,1,4.7,9.0,0.5,Kategori 'Bangunan Bersejarah' tidak terklasifikasi secara otomatis,https://www.google.com/maps/search/?api=1&query=Camping%20Ground%20GIGI%20HIU%20by%20BAGASFEKA&query_place_id=ChIJgXgJa7czQS4RGSU_oA4dw-A,PENDING,Pending manual validation
can_df61eaa74e96,Embung D Teknik Unila,Kota Bandar Lampung,park,1,4.5,2.0,0.5,Kategori 'Taman' tanpa sinyal wisata khusus,https://www.google.com/maps/search/?api=1&query=Embung%20D%20Teknik%20Unila&query_place_id=ChIJ5Zuf9BLFQC4RZyltQSS0oog,PENDING,Pending manual validation
can_2340460af447,Farm 33,Kabupaten Lampung Selatan,park,1,,,0.5,Kategori 'Leisure=Park' tidak terklasifikasi secara otomatis,https://www.openstreetmap.org/node/13594569685,PENDING,Pending manual validation
can_0ae829cf1954,Gedung Sumpah Pemuda (PKOR),Kota Bandar Lampung,other,1,4.4,452.0,0.5,Kategori 'Gedung Olahraga Tenis Meja' tidak terklasifikasi secara otomatis,https://www.google.com/maps/search/?api=1&query=Gedung%20Sumpah%20Pemuda%20(PKOR)&query_place_id=ChIJiZqSLSXbQC4RXBzwffGlHb0,PENDING,Pending manual validation
can_a983eab09d09,Gn. Balau,Kota Bandar Lampung,mountain,1,4.5,129.0,0.5,Kategori 'Puncak Gunung' tidak terklasifikasi secara otomatis,https://www.google.com/maps/search/?api=1&query=Gn.%20Balau&query_place_id=ChIJ53pJd4rbQC4RjL3I8ncW0n4,PENDING,Pending manual validation
can_cedc500a3de0,Gn. Kunyit,Kota Bandar Lampung,mountain,1,4.2,72.0,0.5,Kategori 'Puncak Gunung' tidak terklasifikasi secara otomatis,https://www.google.com/maps/search/?api=1&query=Gn.%20Kunyit&query_place_id=ChIJp3HBQdjbQC4Rl17laa9_P48,PENDING,Pending manual validation
can_7dc7d4ce36c1,Gn. Pemucukan,Kabupaten Tanggamus,mountain,1,,,0.5,Kategori 'Puncak Gunung' tidak terklasifikasi secara otomatis,https://www.google.com/maps/search/?api=1&query=Gn.%20Pemucukan&query_place_id=ChIJ04wKMzvGRi4RhZ6J9JxXEQo,PENDING,Pending manual validation
can_350b9b6775ff,Gn. Seminung,Kabupaten Lampung Barat,mountain,1,4.6,263.0,0.5,Kategori 'Puncak Gunung' tidak terklasifikasi secara otomatis,https://www.google.com/maps/search/?api=1&query=Gn.%20Seminung&query_place_id=ChIJA3BUh3-KRy4RqWY7A2P0gbY,PENDING,Pending manual validation
can_24384bc83236,Grojogan Sewu (GS),Kabupaten Pringsewu,waterpark,1,4.3,414.0,0.5,Kategori 'Kolam Renang' tidak terklasifikasi secara otomatis,https://www.google.com/maps/search/?api=1&query=Grojogan%20Sewu%20(GS)&query_place_id=ChIJUzZkXEAyRy4Raa8HRpad7t4,PENDING,Pending manual validation
can_1d87c283c703,Hulubelu,Kabupaten Tanggamus,other,1,,,0.5,Kategori 'Natural=Volcano' tidak terklasifikasi secara otomatis,https://www.openstreetmap.org/node/3891185639,PENDING,Pending manual validation
can_179fef6971f8,KWT Kamboja III,Kota Metro,agrotourism,1,,,0.5,Kategori 'Kebun Raya' tidak terklasifikasi secara otomatis,https://www.google.com/maps/search/?api=1&query=KWT%20Kamboja%20III&query_place_id=ChIJ1aKH7069QC4RvmicpZnIXgM,PENDING,Pending manual validation
can_7452a15bb9a6,Kampung kecapi atas,Kota Bandar Lampung,park,1,,,0.5,Kategori 'Taman Pedesaan' tidak terklasifikasi secara otomatis,https://www.google.com/maps/search/?api=1&query=Kampung%20kecapi%20atas&query_place_id=ChIJ1RXOdwDdQC4RFeg4QlLGKz0,PENDING,Pending manual validation
