canonical_id,name,region,pilot_batch,total_reviews_collected,positive_collected,negative_collected,neutral_collected,positive_selected,negative_selected,neutral_selected,coverage_status,target_positive,target_negative,target_neutral
can_00055c1c8161,Wisata Mata Air Gunung Batu,Kabupaten Tanggamus,batch_001,16,7,9,0,5,5,0,partial_bucket_coverage,5,5,3
can_003c18b65ec6,Talang Kappung ST. Agung,Kabupaten Tulang Bawang Barat,batch_001,4,4,0,0,3,0,0,partial_bucket_coverage,5,5,3
can_004135856044,Tugu Empat Marga,Kabupaten Tulang Bawang Barat,batch_001,24,20,4,0,5,3,0,partial_bucket_coverage,5,5,3
can_0073d9414900,Embung Pakuan Sakti,Kabupaten Way Kanan,batch_001,0,0,0,0,0,0,0,no_google_reviews,5,5,3
can_0091b7447287,Kebun Jeruk Pak Supar,Kabupaten Pringsewu,batch_001,4,4,0,0,3,0,0,partial_bucket_coverage,5,5,3
can_00d338703fa6,Taman komarudin,Kota Bandar Lampung,batch_001,0,0,0,0,0,0,0,no_google_reviews,5,5,3
can_00e73f54493a,TUGU TAMAN HAYATI MEKARSARI,Kabupaten Mesuji,batch_001,18,13,4,1,5,4,1,partial_bucket_coverage,5,5,3
can_00f33a88d2dd,Bukit Gg. Gaul,Kabupaten Lampung Tengah,batch_001,0,0,0,0,0,0,0,no_google_reviews,5,5,3
can_01336cdc6ae6,Pantai Pase,Kabupaten Lampung Barat,batch_001,11,9,1,1,5,1,1,partial_bucket_coverage,5,5,3
can_0184d61fb09d,Hutan Kota Stadion Tejosari,Kota Metro,batch_001,3,3,0,0,2,0,0,partial_bucket_coverage,5,5,3
can_01a1fc1a6ff9,Kebun langit Group Kepiting Nyablak,Kota Bandar Lampung,batch_001,2,2,0,0,1,0,0,partial_bucket_coverage,5,5,3
can_01a8f6a5d95c,gunung sari,Kabupaten Tanggamus,batch_001,0,0,0,0,0,0,0,no_google_reviews,5,5,3
can_01c9457424a4,Kolam Pemandian Wonotirto,Kabupaten Pesawaran,batch_001,7,5,1,1,4,1,1,partial_bucket_coverage,5,5,3
can_01e0764c07d9,Air terjun gadingan,Kabupaten Lampung Barat,batch_001,5,5,0,0,4,0,0,partial_bucket_coverage,5,5,3
can_02108f555528,WISATA BATU API,Kabupaten Lampung Barat,batch_001,0,0,0,0,0,0,0,no_google_reviews,5,5,3
can_021c5626431e,GR.DONK,Kabupaten Pringsewu,batch_001,0,0,0,0,0,0,0,no_google_reviews,5,5,3
can_024c4fb4c89a,Taman Cerry Glompong,Kabupaten Lampung Tengah,batch_001,22,16,6,0,5,5,0,partial_bucket_coverage,5,5,3
can_02528a834d43,Monk Forest,Kota Bandar Lampung,batch_001,7,7,0,0,5,0,0,partial_bucket_coverage,5,5,3
can_026ddad74f2b,Puncak Gajah,Kabupaten Lampung Barat,batch_001,2,2,0,0,1,0,0,partial_bucket_coverage,5,5,3
can_029b39f27827,Rumah mbh slamet,Kabupaten Lampung Barat,batch_001,1,1,0,0,0,0,0,reviews_without_text,5,5,3
can_032df40e15a9,BARAQBAH BEACH NATURE,Kabupaten Lampung Selatan,batch_001,0,0,0,0,0,0,0,no_google_reviews,5,5,3
can_038cbd6c819e,Heriyansyah Hometown,Kabupaten Tulang Bawang Barat,batch_001,2,0,1,1,0,0,1,partial_bucket_coverage,5,5,3
can_03a8601a9bdd,Persawahan desa fajar Baru blok A,Kabupaten Mesuji,batch_001,0,0,0,0,0,0,0,no_google_reviews,5,5,3
can_03f151672366,Pantai kerang mas,Kabupaten Lampung Selatan,batch_001,0,0,0,0,0,0,0,no_google_reviews,5,5,3
can_044ba5b087e3,Tempat nyore wong tulus,Kabupaten Mesuji,batch_001,2,1,1,0,1,0,0,partial_bucket_coverage,5,5,3
can_04a90c3fe54e,POHON KEHIDUPAN FESINDO,Kota Bandar Lampung,batch_001,0,0,0,0,0,0,0,no_google_reviews,5,5,3
can_0520bf4cb146,Ruwa Jurai,Kota Bandar Lampung,batch_001,9,5,3,1,4,3,1,partial_bucket_coverage,5,5,3
can_05c71e49f699,Mural Pengantin Adat Lampung,Kota Bandar Lampung,batch_001,2,2,0,0,2,0,0,partial_bucket_coverage,5,5,3
can_067001992225,Kebun Sawit - Putra Benawa,Kabupaten Way Kanan,batch_001,0,0,0,0,0,0,0,no_google_reviews,5,5,3
can_06ea93392bfd,Taman berwarna pingled 2 satoe,Kota Metro,batch_001,1,1,0,0,1,0,0,partial_bucket_coverage,5,5,3
can_075f59d24b7d,Gunung Loro ireng,Kabupaten Tanggamus,batch_001,0,0,0,0,0,0,0,no_google_reviews,5,5,3
can_076831a1881b,Air Terjun Putera Senja,Kabupaten Way Kanan,batch_001,0,0,0,0,0,0,0,no_google_reviews,5,5,3
can_0776813a925a,Kanal Y,Kabupaten Tulang Bawang,batch_001,0,0,0,0,0,0,0,no_google_reviews,5,5,3
can_079935eafadb,Pantai penggawa v tengah,Kabupaten Pesisir Barat,batch_001,1,1,0,0,1,0,0,partial_bucket_coverage,5,5,3
can_07f1c277cc43,Sawah yuk ari,Kabupaten Lampung Barat,batch_001,0,0,0,0,0,0,0,no_google_reviews,5,5,3
can_07fc88875adc,Embung Way Balam Jaya,Kabupaten Tulang Bawang Barat,batch_001,0,0,0,0,0,0,0,no_google_reviews,5,5,3
can_09b986ad7cef,Curup Kereta,Kabupaten Way Kanan,batch_001,27,18,8,1,5,5,1,partial_bucket_coverage,5,5,3
can_0a751637875a,Wisata kali kliwir,Kabupaten Mesuji,batch_001,1,1,0,0,0,0,0,reviews_without_text,5,5,3
can_0ab679fca5a8,Ternak Lele Area Taman Sabin,Kabupaten Pringsewu,batch_001,21,18,1,2,5,1,2,partial_bucket_coverage,5,5,3
can_0ad2c6fa95ed,Kawasan Edukasi Peduli Lingkungan,Kabupaten Lampung Timur,batch_001,8,6,0,2,5,0,1,partial_bucket_coverage,5,5,3
can_0c8172d3ecb5,Taman Ramah Anak,Kabupaten Tulang Bawang,batch_001,5,2,1,2,1,1,2,partial_bucket_coverage,5,5,3
can_0cc93e404ff4,Bukit way pintau,Kabupaten Lampung Barat,batch_001,0,0,0,0,0,0,0,no_google_reviews,5,5,3
can_0dede19da9e8,Tugu Payan Mas Kotabumi,Kabupaten Lampung Utara,batch_001,24,15,9,0,5,5,0,partial_bucket_coverage,5,5,3
can_0ea29224c54b,Griya sawah,Kota Metro,batch_001,2,2,0,0,2,0,0,partial_bucket_coverage,5,5,3
can_0f9e92c32c56,MARTADINATA HILLS,Kota Bandar Lampung,batch_001,2,2,0,0,1,0,0,partial_bucket_coverage,5,5,3
