canonical_id,name,region,pilot_batch,total_reviews_collected,positive_collected,negative_collected,neutral_collected,positive_selected,negative_selected,neutral_selected,coverage_status,target_positive,target_negative,target_neutral
can_ea024c308440,Air terjun keranji,Kabupaten Pesawaran,batch_004,0,0,0,0,0,0,0,no_google_reviews,5,3,2
can_9f9f62569267,Air terjun ciupang,Kabupaten Pesawaran,batch_003,0,0,0,0,0,0,0,no_google_reviews,5,3,2
can_4caecae1c000,Teluk betung,Kabupaten Pesawaran,batch_002,0,0,0,0,0,0,0,no_google_reviews,5,3,2
can_142a3fb45d57,POS 1 Gunung Tanggamus,Kabupaten Tanggamus,batch_001,0,0,0,0,0,0,0,no_google_reviews,5,5,3
can_46344e0deb0c,Old Steel Bridge,Kabupaten Tanggamus,batch_002,0,0,0,0,0,0,0,no_google_reviews,5,3,2
can_ea9c6614c456,Kebon duku bpk supar,Kabupaten Tanggamus,batch_004,0,0,0,0,0,0,0,no_google_reviews,5,3,2
can_7a3830c677ef,AIR TERJUN (CURUP),Kabupaten Tanggamus,batch_003,0,0,0,0,0,0,0,no_google_reviews,5,3,2
can_01a8f6a5d95c,gunung sari,Kabupaten Tanggamus,batch_001,0,0,0,0,0,0,0,no_google_reviews,5,5,3
can_075f59d24b7d,Gunung Loro ireng,Kabupaten Tanggamus,batch_001,0,0,0,0,0,0,0,no_google_reviews,5,5,3
can_a41aa38612f2,Air terjun way handak,Kabupaten Tanggamus,batch_003,0,0,0,0,0,0,0,no_google_reviews,5,3,2
can_d72a6355ec71,Nelayan,Kabupaten Tanggamus,batch_004,0,0,0,0,0,0,0,no_google_reviews,5,3,2
can_d5c81ed1e161,Tampian baheula,Kabupaten Tanggamus,batch_004,0,0,0,0,0,0,0,no_google_reviews,5,3,2
can_a0d4ca18f1f7,Kolam renang,Kabupaten Tanggamus,batch_003,0,0,0,0,0,0,0,no_google_reviews,5,3,2
can_4479573dce23,Kebun lada sinar laut,Kabupaten Tanggamus,batch_002,0,0,0,0,0,0,0,no_google_reviews,5,3,2
can_43e0dc8c2d98,Teluk berak,Kabupaten Tanggamus,batch_002,0,0,0,0,0,0,0,no_google_reviews,5,3,2
